muni_id,municipality,tier,region,website,bylaw_id,bylaw_name,bylaw_link,date_enacted,expiry_date,progress_label,other_notes,exemption_status,exemption_wording,detail_id,farm_exemption,special_provision,guidelines_wording,exception_wording
38,Bradford West Gwillimbury,Lower Tier,Simcoe,https://www.townofbwg.com/,262,By-Law 2017-33,https://www.townofbwg.com/en/town-hall/fill-and-site-alteration-by-law-2017-33.aspx#18-Force-and-Effect,2017-04-04,2027-04-04,COMPLETE,,No,"to prohibit or regulate the placing or dumping of fill, prohibiting and to regulate the site alteration of the grade of land in any defined area or on any class of land in the municipality, and requiring that a permit be obtained for the placing or dumping of fill or the site alteration of the grade of land;",38,No,No,"to prohibit or regulate the placing or dumping of fill, prohibiting and to regulate the site alteration of the grade of land in any defined area or on any class of land in the municipality, and requiring that a permit be obtained for the placing or dumping of fill or the site alteration of the grade of land;",
39,Brampton,Lower Tier,Peel,http://www.brampton.ca/en/pages/welcome.aspx,269,By-law 119-2024,https://www.brampton.ca/EN/City-Hall/Bylaws/All%20Bylaws/Site%20Alteration%20By-law.pdf,2024-07-10,,COMPLETE,,Yes,To prohibit or regulate the placing or dumping of fill,39,Yes,No,To prohibit or regulate the placing or dumping of fill,The by-law excludes statutory exemptions and activities involving limited topsoil replacement for agriculture.
40,Brant,Single Tier,Brant,http://www.brant.ca/,276,BY-LAW NUMBER 87-24,"https://www.brant.ca/en/bylaws-and-animal-services/resources/Documents/2024-09-24-Site-Alteration-Bylaw-Update.pdf#:~:text=%5BPDF%5D%202024%2009%2024%20Site,2%29%20of%20the",2024-09-24,,COMPLETE,"Agricultural Lands includes all lands that are used by a farming business registered under the Farm Registration and Farm Organizations Funding Act, 1993, S.O. 1993, c.21 as amended, for growing of crops, including nursery and horticultural crops, raising livestock, raising of other animals for food, fur or fibre, including poultry and fish, aquaculture, apiaries, agro-forestry and maple syrup production; Agricultural Operation has the same meaning as under the Farming and Food Protection Act, 1998, which is, for ease of reference, an agricultural, aquacultural, horticultural or silvicultural operation that is carried on in the expectation of gain or reward Normal Farm Practice has the same means as under the Farming and Food Production Protection Act, 1998 which is, for ease of reference a practice that i) is conducted in a manner consistent with proper and acceptable customs and standards as established and followed by similar Agricultural Operations under similar circumstances, or ii) makes use of innovative technology in a manner consistent with proper advanced farm management practices",Yes,To Prohibit or Regulate Site Alteration,40,Yes,,To Prohibit or Regulate Site Alteration,"This By-law does not apply to: k) the removal of Topsoil as an incidental part of a Normal Farm Practice as defined in the Farming and Food Production Protection Act, 1998, S.O. 1998, c.1., including such removal as an incidental part of sod-farming, greenhouse operations and nurseries for horticultural products but not including the removal of Topsoil for sale, exchange or other disposition; l) replacement of Topsoil for restoration of Agricultural Lands used for normal agricultural practices and which is an incidental part of sod farming, greenhouse operations, and nurseries for horticultural practices and which shall not exceed one thousand (1,000) cubic metres annually and which shall not result in a landform change of more than 0.2m, or at the discretion of the Director; m)the placement or Dumping of Fill as a nutrient management activity for agricultural practices in compliance with the Nutrient Management Act, 2002;"
41,Brantford,Single Tier,Brant,http://www.brantford.ca/Pages/default.aspx,283,BY-LAW NUMBER 29-2023,https://www.brantford.ca/Modules/Bylaws/Bylaw/Download/9d402ae1-f189-4570-9da9-32d769ae7927,2023-02-28,2033-02-28,COMPLETE,,Yes,"TO PROHIBIT OR REGULATE THE REMOVAL OF TOPSOIL, THE PLACING OR DUMPING OF FILL AND, THE ALTERATION OF GRADE OF LAND",41,Yes,,"TO PROHIBIT OR REGULATE THE REMOVAL OF TOPSOIL, THE PLACING OR DUMPING OF FILL AND, THE ALTERATION OF GRADE OF LAND","SECTION 4 - EXEMPTIONS 4.1 The provisions of this by-law shall not apply to: 4.1.11 replacement of Topsoil for restoration of Agricultural Lands used for normal agricultural practices and which is an incidental part of sod farming , greenhouse operations, and nurseries for horticultural practices and which shall not exceed one thousand (1000) cubic metres annually and which shall not result in a landform change of more than 0.2m, or at the discretion of the Director; where ""Agricultural Lands"" includes all lands that are used by a farming business registered under the Farm Registration and Farm Organizations Funding Act, 1993"
42,Brethour,Single Tier,Timiskaming,VALUE!,290,,,,,,,,,42,,,,
43,Brighton,Lower Tier,Northumberland,http://www.brighton.ca/,297,By-Law 114-2016,https://www.brighton.ca/en/municipal-services/resources/By-law-114-2016-Fill-By-law.pdf,2016-11-07,,COMPLETE,,No,to control and regulate the dumping and moving of fill.,43,No,No,to control and regulate the dumping and moving of fill.,
44,Brock,Lower Tier,Durham,http://townshipofbrock.ca/,304,"BY-LAW NUMBER 2633-2015
AMENDED BY:
BY-LAW NUMBER 2703-2016-PP",https://www.townshipofbrock.ca/Modules/Bylaws/Bylaw/Download/f8ba8705-ce8f-4aae-a584-1cd419f2b300,2016-12-05,,COMPLETE - FARM FRIENDLY,,Yes,"TO PROHIBIT OR REGULATE THE REMOVAL OF TOPSOIL, THE PLACING OR DUMPING OF FILL AND THE ALTERATION OF THE GRADE OF LAND",44,Yes,No,"TO PROHIBIT OR REGULATE THE REMOVAL OF TOPSOIL, THE PLACING OR DUMPING OF FILL AND THE ALTERATION OF THE GRADE OF LAND","Section 3 - Exemptions 3.01 This By-law is not applicable to the following: (j) the removal of topsoil or fill from agricultural lands incidental to a normal agricultural practice including such removal as an incidental part of sod-farming, greenhouse operations and nurseries for horticultural products. This exception does not include the removal of topsoil for sale, exchange or other disposition;"
45,Brockton,Lower Tier,Bruce,http://www.brockton.ca/,311,,,,,COMPLETE,,,,45,,,,
46,Brockville,Single Tier,Leeds and Grenville,http://www.brockville.com/,318,,,,,COMPLETE,,,,46,,,,
47,Brooke-Alvinston,Lower Tier,Lambton,http://brookealvinston.com/home/,325,,,,,COMPLETE,,,,47,,,,
49,Bruce,Upper Tier,Bruce,http://www.brucecounty.on.ca/,339,,,,,NO BY-LAW IN PLACE,,,,49,,,,
48,Bruce Mines,Single Tier,Algoma,http://www.brucemines.ca/,332,,,,,COMPLETE,,,,48,,,,
50,"Brudenell, Lyndoch and Raglan",Lower Tier,Renfrew,http://www.blrtownship.ca/,346,,,,,NO BY-LAW IN PLACE,,,,50,,,,
51,Burk's Falls,Single Tier,Parry Sound,http://www.burksfalls.net/,353,,,,,COMPLETE,,,,51,,,,
52,Burlington,Lower Tier,Halton,http://cms.burlington.ca/site4.aspx,360,By-law 93-2020,https://www.burlington.ca/en/by-laws-and-animal-services/resources/By-laws/By-law-Search/2020-By-laws/093-2020-By-law.pdf,2020-11-23,,COMPLETE,,Yes,"to prohibit and regulate the placing, dumping, cutting or removal of fill or the altering of grades or drainage on any lands.",52,Yes,Yes,"to prohibit and regulate the placing, dumping, cutting or removal of fill or the altering of grades or drainage on any lands.",see section 3.06 for full exemption details - https://acrobat.adobe.com/id/urn:aaid:sc:US:640d7de0-d4f5-45a9-9d08-63775dcd423d
53,Burpee and Mills,Single Tier,Manitoulin,http://www.burpeemills.com/,367,,,,,COMPLETE,,,,53,,,,
54,Caledon,Lower Tier,Peel,http://www.town.caledon.on.ca/,374,BY-LAW NUMBER 2007-59,https://www.caledon.ca/uploads/14/Doc_637203057426383973.pdf?ts=638410145122754621,2007-05-15,,COMPLETE,"11. The Director shall not issue a permit (1) for the removal, placing or dumping of fill, for the removal of topsoil, or for the alteration of the grade of land unless (a) The land is zoned A-1, A-2 or A-3, and i. There is an active agricultural operation on the land, and ii. It can be demonstrated that the placement of fill or alteration of the grade is for the purpose of improving the agricultural viability and productivity of the agricultural operation",Yes,"to prohibit or regulate the placing or dumping of fill, the storage and removal of topsoil and the alteration of the grade of the land.",54,Yes,No,"to prohibit or regulate the placing or dumping of fill, the storage and removal of topsoil and the alteration of the grade of the land.","The by-law defines ""agricultural operation"" and town policy exempts ""Normal Farm Practice"" and alterations under the Drainage Act/Tile Drainage Act from requiring a permit."
55,Callander,Single Tier,Parry Sound,http://mycallander.ca/,381,,,,,COMPLETE,,,,55,,,,
56,Calvin,Single Tier,Nipissing,http://www.calvintownship.ca/,388,,,,,NO BY-LAW IN PLACE,,,,56,,,,
57,Cambridge,Lower Tier,Waterloo,http://www.cambridge.ca/,395,By-law 23-103,https://pub-cambridge.escribemeetings.com/filestream.ashx?DocumentId=8935,,,COMPLETE,,Yes,to regulate or prohibit the alteration of the grade of land and the placing or dumping of fill,57,Yes,No,to regulate or prohibit the alteration of the grade of land and the placing or dumping of fill,Any Site Alteration undertaken in accordance with Normal Farming Practices on designated agricultural land
58,Carleton Place,Lower Tier,Lanark,http://www.carletonplace.ca/,402,,,,,COMPLETE,"By-laws exist within each subdivision, but not in the township as a whole.",,,58,,,,
59,Carling,Single Tier,Parry Sound,http://www.carlingtownship.ca/,409,,,,,COMPLETE,,,,59,,,,
60,Carlow-Mayo,Lower Tier,Hastings,http://www.carlowmayo.ca/,416,,,,,COMPLETE,,,,60,,,,
61,Casey,Single Tier,Timiskaming,http://www.harley.ca/casey/,423,,,,,NO BY-LAW IN PLACE,,,,61,,,,
62,Casselman,Lower Tier,Prescott and Russell,http://www.en.casselman.ca/,430,,,,,COMPLETE,,,,62,,,,
63,Cavan Monaghan,Lower Tier,Peterborough,http://www.cavanmonaghan.net/siteengine/activepag,437,By-law No. 2020-19,https://www.cavanmonaghan.net/en/local-government/resources/By-law-No.-2020-19-being-a-by-law-to-control-the-dumping-of-fill-a.pdf,2020-04-06,,COMPLETE,,Yes,prohibiting and/or regulating the placing or dumping of fill of any kind and for prohibiting or regulating the alteration of the grade of land,63,Yes,,prohibiting and/or regulating the placing or dumping of fill of any kind and for prohibiting or regulating the alteration of the grade of land,"Part 3 Exemptions 3.01 This By-law is not applicable to the following: (I) The removal of topsoil from agricultural lands incidental to a normal agricultural practice including such removal as an incidental part of sod-farming, greenhouse operations and nurseries for horticultural products. This exception does not include the removal of topsoil for sale, exchange or other disposition; where “Agricultural Lands” includes all lands that are used by a farming business registered under the Farm Registration and Farm Organizations Act, 1993, S.O. 1993, c.21, as amended, for growing of crops, including nursery and horticultural crops; raising livestock; raising of other animals for food, fur, fibre, including poultry and fish; aquaculture; apiaries; agro-forestry; maple syrup production;"
71,Central Elgin,Lower Tier,Elgin,http://www.centralelgin.org/siteengine/activepage,493,,,,,COMPLETE,,,,71,,,,
72,Central Frontenac,Lower Tier,Frontenac,http://www.centralfrontenac.com/,500,,,,,COMPLETE,,,,72,,,,
73,Central Huron,Lower Tier,Huron,http://www.centralhuron.com/,507,,,,,COMPLETE,,,,73,,,,
74,Central Manitoulin,Single Tier,Manitoulin,http://www.centralmanitoulin.ca/,514,By-law 2008-04 (Topsoil Preservation,https://www.centralmanitoulin.ca/media/tkedcu2u/2008-04_topsoil_preservation_by-law_with_application_attached_0.pdf,2008-01-01,,COMPLETE,,Yes,,74,Yes,,,"Exempts activities as per Subsection 142 of the Municipal Act, which includes ""the removal of topsoil as an incidental part of a normal agricultural practice including such removal as an incidental part of sod-farming, greenhouse operations and nurseries for horticultural products."""
75,Centre Hastings,Lower Tier,Hastings,http://www.centrehastings.com/,521,,,,,COMPLETE - FARM FRIENDLY,,,,75,,,,
70,Centre Wellington,Lower Tier,Wellington,https://www.centrewellington.ca/en/index.aspx,486,"By-law 2019-25
Site Alteration By-Law",https://www.centrewellington.ca/en/township-services/resources/Documents/LegislativeServices/19-25-.pdf,2019-05-27,,COMPLETE,,Yes,See SECTION 3 - General Prohibitions and Regulations,70,Yes,NOT KNOWN,See SECTION 3 - General Prohibitions and Regulations,"See Section 2.2 c), e), & f): 2.2 This By-law does not apply to: (c) the removal of topsoil from agricultural lands incidental to a normal agricultural practice including such removal as an incidental part of sod-farming, greenhouse operations and nurseries for horticultural products but does not include the removal of topsoil for sale, exchange or other disposition; (e) construction of a building or structure pursuant to a valid building permit issued under the Building Code Act, 1992, S.O. 1992, c. 23, as amended and the site plan accompanying the building permit application provides sufficient information to determine that the placing or dumping of fill conforms with the provisions of this By-"
76,Chamberlain,Single Tier,Timiskaming,https://www.chamberlaintownship.com/,528,,,,,NO BY-LAW IN PLACE,,,,76,,,,
77,Champlain,Lower Tier,Prescott and Russell,http://www.champlain.ca/en/index.aspx,535,,,,,,,,,77,,,,
78,Chapleau,Single Tier,Sudbury,http://www.chapleau.ca/portal/en/community/townsh,542,,,,,COMPLETE,,,,78,,,,
79,Chapple,Single Tier,Rainy River,http://www.chapple.on.ca/,549,,,,,NO BY-LAW IN PLACE,,,,79,,,,
80,Charlton-Dack,Single Tier,Timiskaming,http://www.charltonanddack.com/,556,,,,,NO BY-LAW IN PLACE,,,,80,,,,
81,Chatham-Kent,Single Tier,Chatham-Kent,http://www.chatham-kent.ca/default.htm,563,,,,,COMPLETE,,,,81,,,,
82,Chatsworth,Lower Tier,Grey,http://www.chatsworth.ca/,570,By-Law Number 2018-49,https://chatsworth.ca/wp-content/uploads/2019/05/2018-49-Site-Alteration-By-law.pdf,2018-07-04,,COMPLETE,NAP acknoweldged.,No,"to prohibit and regulate the placing or dumping of fill, the removal of topsoil, and the alteration of the grade of lands",82,No,No,"to prohibit and regulate the placing or dumping of fill, the removal of topsoil, and the alteration of the grade of lands",
83,Chisholm,Single Tier,Nipissing,http://www.chisholm.ca/,577,,,,,COMPLETE,,,,83,,,,
84,Clarence-Rockland,Lower Tier,Prescott and Russell,http://www.clarence-rockland.com/,584,,,,,COMPLETE,"By-law was proposed in 2022, no updates from that, no active by-law in place",,,84,,,,
85,Clarington,Lower Tier,Durham,http://www.clarington.net/,591,By-law 2024-017,https://weblink.clarington.net/WebLink/ElectronicFile.aspx?docid=427168&dbid=0&repo=Clarington,2024-04-22,,COMPLETE,,Yes,"Being a by-law to regulate the placing or dumping of fill, removal of topsoil, and the alteration of the grade of land",85,Yes,No,"Being a by-law to regulate the placing or dumping of fill, removal of topsoil, and the alteration of the grade of land","This By-law does not apply to the removal of Topsoil as an incidental part of a normal agricultural practice including such removal as an incidental part of sodfarming, greenhouse operations, and nurseries for horticultural products provided it does not include the removal of Topsoil for sale, exchange or other disposition."
86,Clearview,Lower Tier,Simcoe,http://www.clearview.ca/,598,Fill By-law 25-67,https://www.clearview.ca/file/25-67-site-alteration-and-movement-fill-lawpdf,2025-11-24,,COMPLETE,,Yes,Being a By-law to regulate site alteration and movement of fill in the Township of Clearview,86,Yes,,Being a By-law to regulate site alteration and movement of fill in the Township of Clearview,"A by-law respecting the removal of topsoil does not apply to the removal of topsoil as an incidental part of a normal agricultural practice including such removal as an incidental part of sod-farming, greenhouse operations and nurseries for horticultural products."
87,Cobalt,Single Tier,Timiskaming,http://www.cobalt.ca/,605,,,,,COMPLETE - FARM FRIENDLY,,,,87,,,,
88,Cobourg,Lower Tier,Northumberland,http://www.cobourg.ca/,612,BY.LAW NUMBER 035-2012,https://www.cobourg.ca/en/our-government/resources/Frequently-requested-bylaws/035-2012-Control-Dumping-of-Fill-and-Removal-of-Fill-Bylaw.pdf,2012-04-30,,COMPLETE,"NAP acknowledged. Name of by-law is ""Control Dumping of Fill and Removal of Fill Bylaw"".",No,TO CONTROL THE DUMPING OF FILL AND THE REMOVAL OF FILL.,88,No,No,TO CONTROL THE DUMPING OF FILL AND THE REMOVAL OF FILL.,
89,Cochrane,Single Tier,Cochrane,http://www.town.cochrane.on.ca/,619,,,,,COMPLETE,,,,89,,,,
90,Cockburn Island,Single Tier,Manitoulin,VALUE!,626,,,,,NO BY-LAW IN PLACE,,,,90,,,,
91,Coleman,Single Tier,Timiskaming,http://www.colemantownship.ca/,633,,,,,COMPLETE,,,,91,,,,
92,Collingwood,Lower Tier,Simcoe,http://www.collingwood.ca/,640,Fill By-law 03-103,,,,COMPLETE,"Need to follow up with Clerk for copy of the bylaw, its stated it exists but not avaliable online.. Fill By-law 03-103 confirmed. PDF not posted online — contact clerk@collingwood.ca.",NOT KNOWN,,92,NOT KNOWN,,,
93,Conmee,Single Tier,Thunder Bay,http://www.conmee.com/,647,,,,,NO BY-LAW IN PLACE,,,,93,,,,
94,Cornwall,Single Tier,"Stormont, Dundas and Glengarry",http://www.cornwall.ca/,654,,,,,COMPLETE,,,,94,,,,
95,Cramahe,Lower Tier,Northumberland,http://www.visitcramahe.ca/,661,By-law 2017-18,given by email#http://given by email,2017-05-16,,NO BY-LAW IN PLACE,NAP acknowledged,No,"to control the dumping of fill, removal of fill and alteration of grades",95,No,No,"to control the dumping of fill, removal of fill and alteration of grades",
96,Dawn-Euphemia,Lower Tier,Lambton,http://www.dawneuphemia.ca/Pages/Dawn-Euphemia.as,668,Site Alteration By-Law 2021-039,https://www.lambtonshores.ca/en/our-government/resources/Documents/sitealterationbylawwithfines.pdf,2021-04-26,,COMPLETE,"Confirmed via eScribe. Amended by 2023-050, 2024-011, 2024-034. PDF from Clerk only.",Yes,,96,Yes,,,
97,Dawson,Single Tier,Rainy River,VALUE!,675,,,,,NO BY-LAW IN PLACE,,,,97,,,,
98,Deep River,Lower Tier,Renfrew,http://www.deepriver.ca/,682,,,,,COMPLETE,draft - https://deepriver.civicweb.net/filepro/documents/search/?keywords=site%20alteration&preview=14466,,,98,,,,
