Municipality,Bylaw Name Development Charges,Farm Exemption for Development Charges,Wording of exemption,Date Bylaw Enacted (Regional),Expiry Date,Link to DC Bylaw,Bylaw Name Stormwater,Farm Exemption for Stormwater Charges,How Stormwater Fees are Calculated,Date Bylaw Enacted2 (Regional),Expiry date2,Link to Storm Water bylaw,Bylaw Name Sute Alteration,Farm Exemption for SA,Exception Wording,Date Bylaw Enacted4 (Regional),Expiry date 4,Link to site alteration & fill bylaw,Bylaw Name LGD,Has Livestock Guardian dog Definition,LDG - Definition,Herding Dog Definition Exists,Herding Dog - Definition,LDG and HD exempt from license fees,LDG and HD Collar and tag requirements,Municipal barking restrictions,LDG and HD Exempt from barking restrictions,Dog Limit,Date Bylaw Enacted 5 (Regional),Expiry Date 5,Livestock Guardian Dog bylaw link,Bylaw Name Backyard Chicken,Can you Keep Backyard Chickens,Backyard Chicken Limit,Date Bylaw Enacted 7 (Regional),Expiry Date 7,Roosters Allowed,Licence Required,Welfare Requirements,Backyard Chicken Bylaw Link,Bylaw Name Forest Conservation,Farm Exemption - Tree Cutting Bylaw,Farming Exception Wording,Date Bylaw Enacted 6 (Regional),Expiry Date 6,Tree Cutting Bylaw Link,Municipality Has Fence Bylaw,Does the fence bylaw apply to all lands,Does the fence bylaw replace the Line Fence Act in its entirely,Farm Exemption for Security fencing prohibitions,Farm Exemption for Electrified fencing prohibitions,Equal apportionment of fencing costs between neighbours,Link to Fence Bylaw
"Alnwick/Haldimand, Tp",By-law No. 47-2023,No,"Notwithstanding clause 2 a) above, this by-law does not apply to the development of land that is owned by and used for the purpose of: vi) land, buildings, or structures for agricultural use which do not receive municipal sanitary sewer or water supply services",2023-05-02,,https://static1.squarespace.com/static/65aadb1c11c5f35982ba4f5f/t/66058eb3aeb52a27c23df771/1711640243630/BL+47-2023+-+Development+Charges.pdf,,,,,,,BY-LAW NO. 55-2011,No,,2011-04-20,,given by emailhttp://given by email,BY-LAW NO. 133-2019,No,,No,,No,Yes,No,,none (limit of 3 is exempt for Agricultural property),,,https://www.ahtwp.ca/en/township-government/resources/Documents/BL-133-2019-Animal-Control.pdf,,,,,,,,,,,,,,,,NO,,,,,,
"Amaranth, Tp",By-Law No. 40-2024,Yes,"3.7  a i) Non-residential farm buildings constructed for bona fide farm uses.  Definition of bona fide farm uses: ""means the proposed development that will qualify as a farm business operating with a valid Farm Business Registration Number issued by the Ontario Ministry of Agriculture, Food and Rural Affaird and be assed in the Farmland Reality Tax Class by the Ontario Property Assessment Corporation""",2019-08-31,2024-08-31,https://www.amaranth.ca/media/hp0drppq/by-law-40-2024-development-charges.pdf,,,,,,,BY-LAW NUMBER 65-2009,No,,2009-12-09,,https://www.amaranth.ca/en/municipal-government/resources/By-laws/Site-Alteration-Office-Consolidation---November-2017.pdf,BY-LAW 45-2005,No,,No,,No,Yes,No,,none,2005-08-17,,https://www.amaranth.ca/en/municipal-government/resources/By-laws/45-2005---License-and-Registering-Dogs.pdf,,,,,,,,,,,,,,,,NO,,,,,,
"Amherstburg, Tp",BY-LAW NO. 2024-085,Yes,"The development of non-residential farm buildings constructed for bonafide farm uses, excluding cannabis production facilities and commercial greenhouses",2025-01-01,2034-12-31,https://www.amherstburg.ca/en/town-hall/resources/Planning-Department/2019-083---Development-Charges-By-law.pdf,,,,,,,BY-LAW NO. 2025-033,Yes,"Site Alterations incidental to a Normal Farm Practice that is legally established under the Town’s Zoning By-law, including the application of Topsoil for spreading over Agricultural Property provided that the Existing Grade of the Property is not increased by more than 200 millimetres at any given point. This exception is only available to those Owners or Properties that have an active registration as a ""farming business"" as defined in the Farm Registration and Farms Organization Funding Act (""FRFOFA""), and are in good standing under the FRFOFA",2025-05-01,,"https://pub-amherstburg.escribemeetings.com/filestream.ashx?DocumentId=19968:~:text=THE%20CORPORATION%20OF%20THE%20TOWN,IN%20THE%20TOWN%20OF%20AMHERSTBURG",BY-LAW 2022-008,No,,No,,No,Yes,Yes,No,NOT KNOWN,2022-02-28,,https://www.amherstburg.ca/en/town-hall/resources/Bylaws/2022-008---Keeping-of-Animals.pdf,BY-LAW NO. 2022-008,No,,2022-02-28,,,,,https://www.amherstburg.ca/en/town-hall/resources/DOGS/2022-008---Keeping-of-Animals.pdf,BY-LAW NUMBER 2018-106,No,,2018-11-26,,https://www.amherstburg.ca/en/live-and-play/resources/Documents/2018-106-Public-Tree.pdf,YES,YES,NO,YES,YES,,https://www.amherstburg.ca/media/wopjv3rf/2022-027-fence-by-law-rm.pdf
"Armour, Tp",,,,,,,,,,,,,BY-LAW 41-2010,No,,2010-10-12,,https://irp-cdn.multiscreensite.com/20e551fd/files/uploaded/Bylaw-Site_Alteration.pdf,BY-LAW 18-2023,No,,No,,No,Yes,Yes,No,,2023-04-11,,https://irp.cdn-website.com/20e551fd/files/uploaded/Animal%20Control%20Bylaw.pdf,,,,,,,,,,BY-LAW 17-2019,No,,2019-02-26,,https://irp-cdn.multiscreensite.com/20e551fd/files/uploaded/Bylaw-Tree_Canopy_Policy.pdf,NO,,,,,,
"Armstrong, Tp",,,,,,,,,,,,,,,,,,,BY-LAW NO. 2022-47,Yes,"a dog that works and/or lives with domestic farm animals (e.g., cattle, sheep, poultry) to protect them while repelling predators and is used exclusively for that purpose.",Yes,a dog that has been trained and is actively being used in a bona fide farming operation for the purpose of controlling livestock on the farm.,No,Yes,Yes,Yes,4 (agricultural zones),2023-01-11,,https://www.armstrongtownship.com/uploads/documents/by-laws/By-Law%202022-47%20Animal%20Control%20-%20Second%20and%20Final%20Reading%20and%20repeal%202006-18.pdf,By-Law 2022-47Animal Control,No,,2023-01-11,,No,,,https://www.armstrongtownship.com/uploads/documents/by-laws/By-Law%202022-47%20Animal%20Control%20-%20Second%20and%20Final%20Reading%20and%20repeal%202006-18.pdf,tree canopy exists,,,,,,NO,,,,,,
"Arnprior, Tp",By-law No. 7369-23,No,,2023-03-13,2032-03-13,https://www.arnprior.ca/en/building-and-planning/resources/By-Law---7369-23---Adopt-Development-Charges-By-Law.pdf,,,,,,,,,,,,,"By-law Number 5991-11, as amended by Bylaw 6149-12",No,,No,,No,Yes,Yes,No,NOT KNOWN,2011-07-11,,https://www.arnprior.ca/en/town-hall/resources/Documents/By-Laws/Animal-control-By-law-(Accessible-ms).pdf,By-law Number 5991-11Animal Control,No,,2011-07-11,,,,,https://www.arnprior.ca/en/town-hall/resources/Documents/By-Laws/Animal-control-By-law-(Accessible-ms).pdf,,,,,,,NO,,,,,,
"Arran-Elderslie, M",,,,,,,,,,,,,,,,,,,BY-LAW NO. 40-2019,No,,No,,Yes,Yes,Yes,No,none. 3 if not a working dog.,,,https://www.arran-elderslie.ca/en/municipal-services/resources/Documents/40-19---Animal-Control-By-law.pdf,BY-LAW NO. 40-2019Animal Control,No,,,,,,,https://www.arran-elderslie.ca/en/resources/RFPTenders-/40-19---Animal-Control-By-law.pdf,,,,,,,NO,,,,,,
"Ashfield-Colborne-Wawanosh, Tp",BY-LAW NUMBER 68-2022Imposition of Development Charges,Yes,"Other ExceptionsThe development of non-residential farm buildings constructed for bona fidefarm uses, being that which operates with a valid Farm Business RegistrationNumber and is assessed in the Farmland Realty Tax Class.",2022-11-20,2027-11-20,https://acwtownship.ca/content/government/by-laws/building-and-property/68-2022-development-charges.pdf,,,,,,,BY-LAW NUMBER 28-2023,Yes,"2.2 This By-law does not apply to: (g) Agricultural Lands ""agricultural lands"" includes all lands designated as an agricultural zone under the provisions of the Town's zoning By-law;",2023-03-20,,https://acwtownship.ca/content/government/by-laws/building-and-property/28-2023-site-alteration-by-law.pdf,BY-LAW NUMBER 30-2022,Yes,"a Dog that works and/or lives with domestic farm animals (e.g. cattle, sheep, poultry) to protect them by repelling predators and is used exclusively for that purpose.",Yes,a Dog that has been trained and is actively being used in a bona fide farming operation for the purposes of controlling Livestock on the farm.,,Yes,Yes,No,"none4.6 In a rural area, a person may Harbour more than five (5) Dogs on a property without a Kennel License, provided, (a) the person is keeping Livestock upon the same property; (b) the property is zoned agricultural pursuant to the Municipality's Zoning Bylaw, By-law 32-2008, as amended; and, (c) the Dogs are Livestock Guardian Dogs and or Herding Dogs.",2022-04-05,,https://acwtownship.ca/content/government/by-laws/animal-control/30-2022-animal-control.pdf,By-law 30-2022Animal Control,Yes,,2022-04-05,,,,2;3;4;6,https://acwtownship.ca/content/government/by-laws/animal-control/30-2022-animal-control.pdf,BY-LAW NO. 38-2013,No,,2013-05-21,,https://www.huroncounty.ca/wp-content/uploads/2014/07/By-law38-2013.pdfhttps://www.huroncounty.ca/wp-content/uploads/2014/07/By-law38-2013.pdf,YES,NO,NO,YES,YES,,https://acwtownship.ca/content/government/by-laws/building-and-property/residential-fences-by-law-21-2006.pdf
"Asphodel-Norwood, Tp",BY-LAW NUMBER 2023-64,Yes,Other Exemptions (c) Non-residential farm buildings;,2024-01-01,,https://www.antownship.ca/en/township-services/resources/Documents/PDF-Docs/By-laws/2023-64-DC-Services-related-to-a-Highway.pdf,,,,,,,,,,,,,BY-LAW NUMBER 2022-48,Yes,"a dog that works and/or lives with domestic farm animals, in a bona fide farming operation, to protect them while repelling predators and is used exclusively for that purpose.",Yes,a dog that has been trained and is actively being used in a bona fide farming operation for the purposes of controlling livestock on the farm.,Yes,No,Yes,Yes,none,2022-11-08,,https://www.antownship.ca/Modules/Bylaws/Bylaw/Download/cc0b4142-01a1-4df4-ae77-6272f250880d,BY-LAW NUMBER 2017-46,No,,2017-07-25,,,,,https://www.antownship.ca/en/township-services/resources/Documents/By-laws/By-law2017-46DangerousAnimals.pdf,,,,,,,YES,YES,NO,YES,YES,,https://www.antownship.ca/Modules/Bylaws/Bylaw/Download/e6a30f4e-43bd-41e1-929d-97220a3acf11
"Assiginack, Tp",,,,,,,,,,,,,,,,,,,BY-LAW 21-15,No,,No,,No,Yes,Yes,No,,,,https://www.assiginack.ca/wp-content/uploads/2022/10/Animal-Control-By-law-21-15.pdf,By-law  2020-09,Yes,Other,2020-07-07,,No,No,2;3;4;5;11,https://www.assiginack.ca/wp-content/uploads/2023/05/backyard-chickens-by-law_-2020-09.pdf,,,,,,,NO,,,,,,
"Athens, Tp",,,,,,,,,,,,,,,,,,,BY-LAW  00-01-03,No,,No,,No,Yes,Yes,No,NOT KNOWN,2001-01-01,,https://www.athenstownship.ca/doocuments/by-laws/16-bylaw-dog/file,,,,,,,,,,,,,,,,NO,,,,,,
"Atikokan, Tp",,,,,,,,,,,,,,,,,,,BY-LAW NO. 11-05,No,,No,,No,Yes,Yes,No,none,2005-12-19,,https://atikokan.ca/wp-content/uploads/2022/07/by-law-no-11-05.pdf,,,,,,,,,,,,,,,,YES,YES,NO,NO,,NO,https://atikokan.ca/wp-content/uploads/2023/05/23-07-for-website.pdf
"Aylmer, Tp",BY-LAW NO. 29-17RESIDENTIAL DEVELOPMENTCHARGES BY-LAW,No,,2021-11-21,2026-12-31,"https://aylmer.ca/town-hall/planning-and-development/development-charges/:~:text=Town%20of%20Aylmer%20By,ending%20on%20December%2031%2C%202026",,,,,,,BY-LAW NUMBER 45-23,No,,2023-07-12,,https://aylmer.ca/wp-content/uploads/2023/07/Town-Of-Aylmer-Site-Alteration-By-Law.pdf,BY-LAW NO. 09-06,No,,No,,No,7,No,No,"No land, building or structure in the Town of Aylmer shall be used for the keeping of more than three dogs, three cats or three of any other permitted animal, except in an animal clinic or retail store selling cats or dogs, or a legally licensed and registered Kennel.",2006-02-27,,https://aylmer.ca/wp-content/uploads/2021/01/By-Law09-06-Animals.pdf,BY-LAW NO. 09-06Animals and Dogs,Yes,"Section GENERAL 10.No person shall keep or permit to be kept any domestic fowl or livestock within the Town of Aylmer except upon lands and premises where the keeping of same is a permitted use, in accordance with Section 34 of the Planning Act, c. P.12., as amended, or a predecessor thereof.",2006-02-21,,No,No,,https://aylmer.ca/wp-content/uploads/2021/12/Animals-Control-By-Law-Office-Consolidation.pdf,2013 Tree ManagementPolicy,No,,2013-05-01,,https://aylmer.ca/wp-content/uploads/2021/01/Town-of-Aylmer-Tree-Management-Policy.pdf,YES,YES,YES,YES,YES,YES,"https://aylmer.ca/wp-content/uploads/2021/01/Bylaw23-17.pdf:~:text=%5BPDF%5D%20BY,in%20any%20agricultural%20zone%20as"
"Baldwin, Tp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,
"Bancroft, Tp",,,,,,,,,,,,,,,,,,,BY-LAW NO. 85-2022,Yes,"a dog that works and/or lives with domestic farm animals (e.g., cattle, sheep, poultry) to protect them while repelling predators and issued exclusively for that purpose.",Yes,a dog that has been trained and is actively being used in a bona fide farming operation for the purposes of controlling livestock on the farm.,Yes,No,Yes,Yes,none,2022-09-13,,https://bancroft.civicweb.net/filepro/documents/59492/?preview=108981,,,,,,,,,,BY-LAW NO. 07-2019,No,,2019-03-12,,https://bancroft.civicweb.net/filepro/documents/search/search?keywords=woodland&amp;page=1&amp;preview=54518,NO,,,,,,
"Barrie, C",By-law 2023-074,No,,2023-06-21,2033-06-21,https://www.barrie.ca/media/3950,,,,,,,By-law 2014-100,No,,2014-08-25,,https://www.barrie.ca/media/3973,By-law 2010-035,No,,No,,No,Yes,No,,NOT KNOWN,2010-02-22,,https://www.barrie.ca/media/3941,By-law 2010-035Exotic Animals,No,,2010-02-22,,,,,https://www.barrie.ca/media/3941,BY-LAW NUMBER 2014-115,No,,2014-09-15,,https://www.barrie.ca/media/3984,NO,,,,,,
"Bayham, M",By-law No. 2022-067,Yes,"""Notwithstanding any other provision of this by-law, development charges shall not be imposed with respect to:  (i) Non-residential uses""",2023-10-06,2027-10-07,https://laserfiche.bayham.on.ca/WebLink/DocView.aspx?id=429264&amp;dbid=0&amp;repo=BAYHAM,,,,,,,,,,,,,BY- LAW NO. 2023- 011,No,,No,,No,Yes,No,,"2.2 No person shall keep more than three (3) dogs in any one dwelling unit or on any premises in all other areas of the Municipality, unless otherwise designated as a kennel.",2023-03-16,,https://laserfiche.bayham.on.ca/WebLink/PDF10/2e50a717-64ec-48c8-9385-a67a29aaaf5b/444409,BY-LAW 2015-070,No,Chickens must be for livestock purposes. No direct number stated here.,2015-06-18,,,,2;3;4;8;9,https://laserfiche.bayham.on.ca/WebLink/PDF10/051e9963-9b56-43c4-980e-c44af8bbfedc/23551,By-Law No. 05-03,No,,,,https://www.elgincounty.ca/wp-content/uploads/2023/02/Woodlands-Conservation-Consolidated-By-Law-June-9-2021.pdfhttps://www.elgincounty.ca/wp-content/uploads/2023/02/Woodlands-Conservation-Consolidated-By-Law-June-9-2021.pdf,NO,,,,,,
"Beckwith, Tp",BY-LAW NUMBER 2024-31,Yes,"Notwithstanding the provision of this by-law, development charges shall not be imposed with respect to: a) Place of Worship; and b) Agricultural use for bona fide farming purposes.",2024-04-05,,https://beckwith.civicweb.net/filepro/documents/108/,,,,,,,,,,,,,BY-LAW 2021-63,No,,No,,No,Yes,Yes,Yes,NOT KNOWN,2021-12-07,,https://beckwith.civicweb.net/filepro/documents/108/?preview=2197,BY-LAW 2021-63Licensing &amp; Regulating Dogs and Other Animals,Yes,6,2021-12-07,,No,No,2;3;4;5,https://beckwith.civicweb.net/filepro/document/2197/By-law%202021-63%20Licensing%20Regulating%20and%20Keeping%20of%20Dogs%20and%20other%20Animals.pdf,,,,,,,NO,,,,,,
"Belleville, C",By-Law Number 2021-201,Yes,4. (1) h) a non-residential farm building,2021-12-13,2026-12-13,https://www.belleville.ca/en/city-hall/resources/Documents/Finance-Documents/BL-2021-201.pdf,,,,,,,,,,,,,BY-LAW NUMBER 2005-206,No,,No,,No,Yes,Yes,No,NOT KNOWN,2005-12-12,,"ge 2“Dwelling Unit” shall mean a room or suite of two or more rooms designed or intendedfor use by an individual or family in which culinary and sanitary conveniences areprovided for the exclusive use of such individual or family and with a privateentrance from outside the building or from a common hallway or stairway inside,but does not include a hotel, motel, boarding, rooming ahttp://ge 2“Dwelling Unit” shall mean a room or suite of two or more rooms designed or intendedfor use by an individual or family in which culinary and sanitary conveniences areprovided for the exclusive use of such individual or family and with a privateentrance from outside the building or from a common hallway or stairway inside,but does not include a hotel, motel, boarding, rooming a",,,,,,,,,,,,,,,,NO,,,,,,
"Billings, Tp",,,,,,,,,,,,,,,,,,,BY-LAW 2020-24,No,,No,,,,Yes,No,NOT KNOWN,2020-09-20,,https://billingstwp.ca/wp-content/uploads/2020-24-Dog.pdf,By-Law No. 2022-29,Yes,6,2022-09-19,,No,Yes,2;3;4;5,https://billingstwp.ca/wp-content/uploads/2022-29-Backyard-Chicken-Bylaw-Office-Consolidation-2.pdf,Tree Canopy and Natural Vegetation Policy,No,,2019-02-08,,https://billingstwp.ca/wp-content/uploads/2019-08-Tree-Canopy-Policy_Feb-8-2019-Billings.pdf,NO,,,,,,
"Black River-Matheson, Tp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,NO,YES,YES,NO,https://www.twpbrm.ca/media/qoeltywq/fences.pdf
