Municipality,Keyword Found,Snippet Context,Bylaw Link
Gordon-Barrie Island,cattle,"g by-laws no. 492(gordon) and no. 343(barrie island). farm animals include but are not limited too: cattle, sheep, pigs, horses, poultry and ducks. part 3 – licensing 3.1 no person shall own, harbour...",https://www.gordonbarrieisland.ca/app/download/18635185825/Animal+Control+By-Law+2020-05.pdf?t=1704212942
Hanover,cattle,"gs. ""licence"" means a dog tag issued pursuant to the requirements of this by-law. “livestock” means cattle, horses, poultry, and similar animals kept for domestic use but not as pets, especially on a...",https://www.hanover.ca/media/369
Guelph,cattle,"ng, not exceptions/notes limited to) mammalia afrosoricida tenrecs, golden moles na (mammals) deer, cattle, pigs, except for mammalia artiodactyla sheep, goats, pot- bellied (mammals) giraffes, hippos...",https://guelph.ca/wp-content/uploads/animalcontrolbylaw.pdf
Hornepayne,cattle,"se 4) pheasants 5) quail 6) rabbits 7) turkeys 8) peacocks 9) all artiodactylous ungulates (such as cattle, goats sheep and pigs) 10) all perissodactylus ungulates (such as horses, and zebra) 11) all...",https://www.townshipofhornepayne.ca/media/yp4kvdln/2001-animal.pdf
Greater Sudbury,cattle,"l classroom or other similar temporary public display; (i) premises on which horses, domestic fowl, cattle, goats, swine, mink, sheep or mules or similar livestock, are kept where the premises are app...",https://www.greatersudbury.ca/live/animal-services-and-wildlife/pdfs/animal-control-bylaw/
King,cattle,"s surrounded by a barrier that is sufficient to exclude or contain livestock. 2.1 “livestock” means cattle, horses, sheep, swine except the wild boar, goats, emus, or animals of a class or type design...",https://king.civicweb.net/document/53164/
Laurentian Valley,cattle,"ers, weasels, but excluding ferrets) 5. reptiles (ie. snakes, alligators) 6. ungulates (ie. horses, cattle, swine, sheep, goats, any hoofed animal) 7. raptores (ie. falcons, hawks, owls) 8. galliforme...",https://www.lvtownship.ca/en/lv-government-services/resources/Documents/2017-09-036-Animal-Control-Bylaw-2006-01-271-UA-FINAL.pdf
Lincoln,cattle,"imal; 1.17 ""livestock"" means any domestic or farmed animal, including, but not limited to, poultry, cattle, swine, horses, mink or other furbearing animals, rabbits, sheep, goats and other types of an...",https://www.lincoln.ca/media/337
Nairn and Hyman,cattle,"it confined so that it will not attract other dogs or animals. 5.7 no person shall keep any horses, cattle, goats, swine, mink, sheep or mules or similar livestock, unless such are kept on a property...",https://nairncentre.ca/wp-content/uploads/2022/11/2022-25.By-law-Registering-of-dogs-controlling-impoundment.pdf 
Niagara-on-the-Lake,cattle,"municipal by-laws. (o) “livestock” means any farmed animal, including, but not limited to, poultry, cattle, swine, horses, mink or other furbearing animals, rabbits, sheep, goats and other types of an...","https://www.notl.com/sites/default/files/2024-04/5543-23%20-%20Animal%20Control%20By-law%201.pdf#:~:text=95.%20By,law%20shall"
North Frontenac,cattle,"cluding hens, geese, ducks, turkeys, guinea fowl, etc.) horse, donkey, mule, bull, ox, cow or other cattle, goat, swine, sheep, llama, mink, fox, emu or ostrich or similar animal. “owner” means any pe...",https://www.northfrontenac.com/en/township-services/resources/Frequent-By-laws/By-law-Enforcement/68-22---Animal-Control-By-law.pdf
Prescott,cattle,"gent on payment of the appropriate licence fee. ""livestock"" for the purpose of this by-law shall be cattle, goats, swine, mink, fox, sheep, nutria, horses, donkeys, ponies, mules, chickens, llamas and...",https://www.prescott.ca/media/ujapqmsv/by-law-05-2021-animal-control-bylaw.pdf
Quinte West,cattle,"n health, gity clerk schedule ""a"" prohibited animals class order common names mammalia artiodactyla cattle, goats, sheep, pigs, deer, elk, hippopotamus carnivora coyote, wolves, foxes, hybrid dogs, ti...",https://quintewest.ca/wp-content/uploads/2021/02/By-law-16-139-Animal-Regulation-By-law.pdf
St-Charles,cattle,"by the municipality. 2.17 ""licence"" means a licence issued under this by-law 2.18 ""livestock"" means cattle, goats, horses, sheep, swine, poultry, fur-bearing animals, bees, cultured fish, deer, elk, g...",https://stcharlesontario.ca/wp-content/uploads/2023/10/2023-38-Responsible-Animal-Ownership.pdf
St Thomas,sheep,"or permit to be kept within the city of st. thomas bees, a horse, bovine, donkey, mule, pig, goat, sheep, goose, turkey, guinea fowl, chicken, duck, emu, rhea, ostrich, alpaca, llama, family elphanti...",https://www.stthomas.ca/common/pages/DownloadFileByUrl.aspx?key=A16K3VQhAQ3iMmCPGkQzHVkCLTTfKcnpsjklUgmCFSWrsBSrqViJSbnXCspeC4pXPwJ4wmrIhZVkzYPi%2bvaI7%2bJcf4NPfgY8RuYG30EeZkWXXKQKBtEBt0lLnQRWzMtUBflj7MC5A%2b1Vaqm4G9SxxEnJVdbUjuyHs0YQS8PB19bJrvtVmaHjEAjPt67ME2%2buwV1gJhtKdf9SdReU72HvamEUy8o%3d
Thunder Bay,cattle,"ityoftheclass. despitetheforegoing,thischapterdoesnotprohibitthekeepingofdo- mesticgoats,sheep,pigs,cattle,horses,asses,chickens,geese,turkeys andducksinthoseareasofthecity inwhicheitheragricultureorp...",https://www.thunderbay.ca/en/city-hall/resources/Documents/By-laws/AnimalKeepingBylaw.pdf
Whitewater Region,cattle,"rs, weasels, but excluding «. ferrets) reptiles (i.e. snakes, alligators) . ungulates (i.e. horses, cattle, swine, sheep, goats (any hoofed . animal) raptores (i.e. falcons, hawks, owls) galliformes (...",https://www.whitewaterregion.ca/userfiles/file/20-07-1308%20Animal%20Control.pdf
"Brant, Ontario",cattle,"(publication 853), ministry of agricultural, food and rural affairs as amended and includes swine, cattle, veal, goats, sheep, horses, chickens, turkeys, quail, partridges, pheasants, squab, rheas, e...",https://www.brant.ca/media/htqpbujq/animal-control.pdf
"Dubreuilville, Ontario",cattle,"it is attached; 1.20 “livestock” refers to animals that are kept for agricultural purposes, such as cattle, fur-bearing animals, goats, horses, sheep, pigs, donkeys, emu, ostriches, alpacas, llamas an...",https://dubreuilville.ca/wp-content/uploads/2025/06/2024-13-ANIMAL-CONTROL-AND-REPEAL-2023-30.pdf
"Goderich, Ontario",cattle,"11-keeping of domestic birds and animals 11.1 no person shall possess or harbour any domestic fowl, cattle, goats, swine, horses, mink, domestic bees or foxes within the municipality. 11.2 no person s...",https://www.goderich.ca/media/lzho13vl/63-2017-animal-control-by-law-accessible.pdf
"Greater Madawaska, Ontario",cattle,"ys or other fowl, the raising of fur bearing animals, the raising of swine or goats, the raising of cattle on feed lots or the growing of mushrooms. h. “farm animal” shall mean any animal normally rai...",https://www.greatermadawaska.com/media/3ohfnrvf/by-law-09-2008-animal-control.pdf
"Grimsby, Ontario",cattle,"lchs""; (n) ""livestock"" means any domestic or farmed animal, including, but not limited to, poultry, cattle, swine, horses, mink or other furbearing animals, rabbits, sheep, goats and other types of an...",https://www.grimsby.ca/media/fflmg41o/to-regulate-animal-care-and-control-in-the-town-of-grimsby-by-law-no-10-06-final.pdf
"Hamilton, C, Ontario",cattle,"to be used as pets; “leash” means a restraint not exceeding 2.4 metres in length; “livestock” means cattle, goats, horses, sheep, swine, poultry, fur-bearing animals, bees, cultured fish, deer, elk, g...",https://www.hamilton.ca/sites/default/files/2022-07/12-031-officeconsolidation-jun16-22.pdf
"Huron East, Ontario",cattle,"minks 7) all ursidae (bears) 8) all artidoactylus ungulates, except domestic goats, sheep, pigs and cattle, deer, elk, bison, llama, and alpaca 9) all procyonide (such as raccoons, coatis and cacomist...",https://www.huroneast.com/media/lnwpvoip/animal-control-bylaw-20250923.pdf
"LaSalle, Ontario",cattle,"ses: (a) more than four (4) cats; (b) any domestic fowl, including pigeons, horses, donkeys, mules, cattle, goats, swine, sheep, or any type thereof, except on a parcel of page 12 of 17 land zoned agr...",https://www.lasalle.ca/media/xtnfxaes/bylaw-8705-animal-control-accessible.pdf
"Marathon, Ontario",cattle,"aw, on any residential lot or in any residential dwelling unit within the town. 23.4 domestic fowl, cattle, goats, sheep or swine may be kept pursuant to the “zoning by-law” of the corporation of the...",https://www.marathon.ca/media/snsf4srh/1788-regulate-govern-animals-2.pdf
"Midland, Ontario",sheep,"anseriformes (such as geese, swans, ducks) 2. those artiodactyla (such as cows, bulls, oxen, bison, sheep, goats, antelopes) 3. those equidae (such as horses, donkeys, mules) 4. those camelidae (such...",https://www.midland.ca/media/ouofdwzx/by-law-2024-36-animal-control-feeding-of-wildlife.pdf
"Niagara Falls, Ontario",cattle,"3 metres; ""livestock” means any domestic or farmed animal, including, but not limited to, poultry, cattle, swine, horses, mink or other furbearing animals, rabbits, sheep, goats and other types of an...",https://niagarafalls.ca/media/n0yprszz/animal-control-bylaw-2019-35_03192019.pdf
"Pembroke, Ontario",sheep,"g, and porcupine. 15. all even toed ungulates (artiodactyla), including but not limited to domestic sheep, antelope, giraffe, and hippopotamus. 16. all odd toed ungulates (perissodactyla), including b...",https://www.pembroke.ca/media/ai2duhmi/animal-control-by-law-2025-85.pdf
"Petawawa, Ontario",sheep,""" shall mean cow, donkey, goat, horse, mule, pig (swine) of all species including hybrids, pony and sheep. 3.3 class 2 animal ""class 2 animal"" shall mean chicken, goose, turkey, duck, pigeon and any d...",https://petawawa.ca/wp-content/uploads/2024/10/AnimalControlBylawforWebsite-Amended.pdf
"Sault Ste Marie, Ontario",cattle,"arding of domestic animals for hire or gain. “livestock” means animals including but not limited to cattle, fur-bearing animals, goats, pigs, horses and sheep, but not including dogs or cats; “microch...",https://saultstemarie.ca/wp-content/uploads/2025/03/2019-117-Animal-Care-and-Control-Consolidated_1.pdf
"Selwyn, Ontario",cattle,"artiodactyla including but not limited to camels, giraffe, deer, elk (except goats, sheep, pigs or cattle which must be kept in agricultural zones and except pot-bellied pigs, vietnamese pot-bellied...",https://www.selwyntownship.ca/media/lnbawvdd/2019-104-consolidated-animal-control-by-law-amended-by-2024-080.pdf
"Shelburne, Ontario",cattle,"ime $75.00 $125.00 third time $100.00 $150.00 schedule “b” prohibited animals artiodactyla (such as cattle, goats, sheep, pigs) canidae, except domestic dogs (such as coyotes, wolves, foxes, hybrid wo...",https://www.shelburne.ca/media/vajoeum4/animal-control-by-law-15-2018-shelburne.pdf
"South-West Oxford, Ontario",cattle,"page 3 by-law no. 76-2017 ""livestock"" means animals or poultry designated as livestock and includes cattle, fur- bearing animals, goats, horses, rabbits, sheep, swine, domestic fowl (includes chickens...",https://www.swox.org/media/px3kch22/76-2017-animal-care-and-control-by-law-consolidated-2023.pdf
"Wasaga Beach, Ontario",cattle,"ance with the municipalities conditions. 5.2.4 a bona fide farming operation for the keeping of any cattle, horse, goat, sheep, swine or chickens as permitted under the town of wasaga beach zoning by-...",https://www.wasagabeach.com/media/1msostnl/animal-control-by-law.pdf
