munid,name,found_url,found_date,snippet,trigger_keyword,category,keywords_detected
ASSIGINACK TP,ASSIGINACK,https://pub-assiginack.escribemeetings.com/,2026-02-03,"<!DOCTYPE html>   <html id=""masterPageHeader"" xmlns=""http://www.w3.org/1999/xhtml"" lang=""en"" xml:lang=""en""> <head><meta charset=""utf-8"" /><meta http-equiv=""X-UA-Compatible"" content=""IE=edge;chrome=1"" /><meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" /><title> 	eSCRIBE Publ",Council,CHICKENS,True
ATIKOKAN TP,ATIKOKAN,https://atikokan.civicweb.net/Portal/,2026-02-03,"  <!DOCTYPE html> <html id=""ctl00_HtmlTag"" prefix=""fb: http://www.facebook.com/2008/fbml"" lang=""en-CA"" xml:lang=""en-CA""> <head id=""ctl00_PageHead""><link href=""//code.jquery.com/ui/1.13.3/themes/smoothness/jquery-ui.css"" rel=""stylesheet""/> <title> 	Atikokan - Home </title><meta http-equiv=""X-U",Council,CHICKENS,True
AURORA TP,AURORA,https://calendar.aurora.ca/,2026-02-03,"<!DOCTYPE html>  <html lang=""en""> <head>     <!-- Google Tag Manager -->     <script>         (function (w, d, s, l, i) {             w[l] = w[l] || []; w[l].push({                 'gtm.start':                     new Date().getTime(), event: 'gtm.js'             }); var f = d.getElementsB",Council,CHICKENS,True
AYLMER TP,AYLMER,https://aylmer.civicweb.net/Portal/,2026-02-03,"  <!DOCTYPE html> <html id=""ctl00_HtmlTag"" prefix=""fb: http://www.facebook.com/2008/fbml"" lang=""en-CA"" xml:lang=""en-CA""> <head id=""ctl00_PageHead""><link href=""//code.jquery.com/ui/1.13.3/themes/smoothness/jquery-ui.css"" rel=""stylesheet""/> <title> 	Town of Aylmer - Home </title><meta http-equi",Council,CHICKENS,True
BALDWIN TP,BALDWIN,https://baldwin.ca/approved-council-minutes/,2026-02-03,"<!DOCTYPE html> <html lang=""en-US""> <head> 	<meta charset=""UTF-8""> 	<title>Approved Council Minutes &#8211; Township of Baldwin</title> <meta name='robots' content='max-image-preview:large' /> <meta name=""viewport"" content=""width=device-width, initial-scale=1""><link href='https://fonts.gstatic.com' ",Council,CHICKENS,True
BANCROFT TP,BANCROFT,https://bancroft.civicweb.net/Portal/,2026-02-03,"  <!DOCTYPE html> <html id=""ctl00_HtmlTag"" prefix=""fb: http://www.facebook.com/2008/fbml"" lang=""en-CA"" xml:lang=""en-CA""> <head id=""ctl00_PageHead""><link href=""//code.jquery.com/ui/1.13.3/themes/smoothness/jquery-ui.css"" rel=""stylesheet""/> <title> 	Town of Bancroft - Home </title><meta http-eq",Council,CHICKENS,True
BARRIE C,BARRIE,https://barrie.legistar.com/View.ashx?M=M&ID=1328973&GUID=9D9066B6-D265-41C3-920F-CBBB8FFD35DA,2026-02-03,"City of Barrie 70 Collier Street P.O. Box 400 Barrie, ON L4M 4T5 Final City Council Wednesday, November 5, 2025 6:30 PM Council Chamber CALLING TO ORDER BY THE CITY CLERK, WENDY COOKE The meeting was called to order by the City Clerk at 6:30 p.m. The following were in attendance for the meeting: Pre",Council,CHICKENS,True
BAYHAM M,BAYHAM,http://www.bayham.on.ca/governance/council/agendas-minutes/,2026-02-03,"<!DOCTYPE html> <html dir=""ltr"" lang=""en"" class=""no-js usn""> <head>             <!-- Google Analytics -->         <link rel=""dns-prefetch"" href=""//www.google-analytics.com"">      <!-- Google Fonts --> <link rel=""dns-prefetch"" href=""//fonts.googleapis.com""> <link rel=""dns-prefetch"" href=""//font",Council,CHICKENS,True
BELLEVILLE C,BELLEVILLE,https://citybellevilleon.civicweb.net/document/92907,2026-02-03,"Regular Council Meeting Minutes Monday, February 10, 2025 at 4:00 PM Council Chambers The Regular Meeting of the Council of the Corporation of the City of Belleville was held on Monday, February 10, 2025 in the Council Chambers at the hour of 4:00 PM. It is noted that there was a City Council In Cam",Council,CHICKENS,True
BLANDFORD BLENHEIM TP,BLANDFORD BLENHEIM,https://pub-blandfordblenheim.escribemeetings.com/,2026-02-03,"<!DOCTYPE html>   <html id=""masterPageHeader"" xmlns=""http://www.w3.org/1999/xhtml"" lang=""en"" xml:lang=""en""> <head><meta charset=""utf-8"" /><meta http-equiv=""X-UA-Compatible"" content=""IE=edge;chrome=1"" /><meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" /><title> 	eSCRIBE Publ",Council,CHICKENS,True
BLIND RIVER T,BLIND RIVER,https://pub-blindriver.escribemeetings.com/,2026-02-03,"<!DOCTYPE html>   <html id=""masterPageHeader"" xmlns=""http://www.w3.org/1999/xhtml"" lang=""en"" xml:lang=""en""> <head><meta charset=""utf-8"" /><meta http-equiv=""X-UA-Compatible"" content=""IE=edge;chrome=1"" /><meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" /><title> 	eSCRIBE Publ",Council,CHICKENS,True
BLUEWATER M,BLUEWATER,https://bluewater.civicweb.net/Portal/,2026-02-03,"  <!DOCTYPE html> <html id=""ctl00_HtmlTag"" prefix=""fb: http://www.facebook.com/2008/fbml"" lang=""en-CA"" xml:lang=""en-CA""> <head id=""ctl00_PageHead""><link href=""//code.jquery.com/ui/1.13.3/themes/smoothness/jquery-ui.css"" rel=""stylesheet""/> <title> 	Municipality of Bluewater - Home </title><met",Council,CHICKENS,True
BONNECHERE VALLEY TP,BONNECHERE VALLEY,https://www.bonnecherevalleytwp.com/council-and-staff/council-minutes/,2026-02-03,"<!DOCTYPE HTML> <html lang='en'> <head> <meta charset=""utf-8"" /> <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" /> <meta name=""robots"" content=""index, follow"" /> <meta name=""description"" content="""" /> <meta name=""author"" content=""Blue North Studios""  /> <link rel='stylesheet' ",Council,CHICKENS,True
BRACEBRIDGE TP,BRACEBRIDGE,https://bracebridge.civicweb.net/Portal/,2026-02-03,"<!DOCTYPE html> <html lang=""en-CA"" xml:lang=""en-CA""> <head> 	<meta charset=""utf-8"" /> 	<title>Town of Bracebridge - Document Center</title> 	<link id=""favicon"" rel=""icon"" href=""https://i.civicweb.net/Global/Images/icon.png"" type=""image/png"" /> 	<link rel=""apple-touch-icon"" href=""https://i.civi",Council,CHICKENS,True
BRAMPTON C,BRAMPTON,https://www.brampton.ca/EN/Arts-Culture-Tourism/Festivals-and-Events/Calendar/,2026-02-03,"  <!DOCTYPE html >  <html dir=""ltr"" lang=""en-US""> <head><meta name=""viewport"" content=""width=device-width, initial-scale=0.86, maximum-scale=5.0, minimum-scale=0.86"" /> <!-- Google Tag Manager --><script>//<![CDATA[ 		(function(w,d,s,l,i){w[l]=w[l]||[];w[l].push({'gtm.start': 		new Date().ge",Council,CHICKENS,True
BRANT,BRANT,https://pub-brant.escribemeetings.com/,2026-02-03,"<!DOCTYPE html>   <html id=""masterPageHeader"" xmlns=""http://www.w3.org/1999/xhtml"" lang=""en"" xml:lang=""en""> <head><meta charset=""utf-8"" /><meta http-equiv=""X-UA-Compatible"" content=""IE=edge;chrome=1"" /><meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" /><title> 	eSCRIBE Publ",Council,CHICKENS,True
BRANTFORD C,BRANTFORD,https://pub-brantford.escribemeetings.com/,2026-02-03,"<!DOCTYPE html>   <html id=""masterPageHeader"" xmlns=""http://www.w3.org/1999/xhtml"" lang=""en"" xml:lang=""en""> <head><meta charset=""utf-8"" /><meta http-equiv=""X-UA-Compatible"" content=""IE=edge;chrome=1"" /><meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" /><title> 	eSCRIBE Publ",Council,CHICKENS,True
BRIGHTON M,BRIGHTON,https://brighton.civicweb.net/Portal/,2026-02-03,"  <!DOCTYPE html> <html id=""ctl00_HtmlTag"" prefix=""fb: http://www.facebook.com/2008/fbml"" lang=""en-CA"" xml:lang=""en-CA""> <head id=""ctl00_PageHead""><link href=""//code.jquery.com/ui/1.13.3/themes/smoothness/jquery-ui.css"" rel=""stylesheet""/> <title> 	Brighton - Home </title><meta http-equiv=""X-U",Council,CHICKENS,True
BROCK TP,BROCK,https://pub-townshipofbrock.escribemeetings.com/Meeting.aspx?Agenda=PostMinutes&Id=7a8e1196-1c9f-4a9a-a3ba-239b4849de51&lang=English,2026-02-03,"<!DOCTYPE html>     <html lang=""en""> <head><meta charset=""utf-8"" /><meta http-equiv=""X-UA-Compatible"" content=""IE=edge;chrome=1"" /><meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" /><title> 	Council Meeting - April 14, 2025 </title><script src=""/bundles/modernizr?v=inCVu",Council,CHICKENS,True
BROCKTON M,BROCKTON,https://pub-brockton.escribemeetings.com/,2026-02-03,"<!DOCTYPE html>   <html id=""masterPageHeader"" xmlns=""http://www.w3.org/1999/xhtml"" lang=""en"" xml:lang=""en""> <head><meta charset=""utf-8"" /><meta http-equiv=""X-UA-Compatible"" content=""IE=edge;chrome=1"" /><meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" /><title> 	eSCRIBE Publ",Council,CHICKENS,True
BROCKVILLE C,BROCKVILLE,https://brockville.civicweb.net/Portal/,2026-02-03,"  <!DOCTYPE html> <html id=""ctl00_HtmlTag"" prefix=""fb: http://www.facebook.com/2008/fbml"" lang=""en-CA"" xml:lang=""en-CA""> <head id=""ctl00_PageHead""><link href=""//code.jquery.com/ui/1.13.3/themes/smoothness/jquery-ui.css"" rel=""stylesheet""/> <title> 	Brockville - Home </title><meta http-equiv=""X",Council,CHICKENS,True
BRUCE MINES T,BRUCE MINES,https://www.brucemines.ca/government/agendas/,2026-02-03,"<!DOCTYPE html>  <html lang=""en""> 	 	 <head> 	<meta name=viewport content=""width=device-width, initial-scale=1""> 	<meta charset=""UTF-8"" /> 	<meta name=""google-site-verification"" content=""W0ioxC6giKduofVtFdpLgeDSDJ2NgUwThwKz9K7t6r4"" />           		<meta property=""og:title"" content=""Agendas",Council,CHICKENS,True
BRUDENELL LYNDOCH AND RAGLAN TP,BRUDENELL LYNDOCH AND RAGLAN,https://blrtownship.ca/document/minutes-regular-council-meeting-september-2025/,2026-02-03,"<!DOCTYPE html> <html lang=""en-US""> <head> <meta name=""viewport"" content=""width=device-width, user-scalable=yes, initial-scale=1.0""> <meta http-equiv=""X-UA-Compatible"" content=""IE=edge"" /><meta charset=""UTF-8""> <link rel=""profile"" href=""http://gmpg.org/xfn/11""> <meta name='robots' content='index, fo",Council,CHICKENS,True
BURLINGTON C,BURLINGTON C,https://burlingtonpublishing.escribemeetings.com/Meeting.aspx?Id=5623816a-75a4-4ec3-9188-5e8ad474cc19&Agenda=Merged&lang=English,2026-02-03,"<!DOCTYPE html>     <html lang=""en""> <head><meta charset=""utf-8"" /><meta http-equiv=""X-UA-Compatible"" content=""IE=edge;chrome=1"" /><meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" /><title> 	Regular Meeting of Council - June 17, 2025 </title><script src=""/bundles/moderni",Council,CHICKENS,True
CALEDON TP,CALEDON TP,https://pub-caledon.escribemeetings.com/Meeting.aspx?Id=3d70f5a0-595f-47ea-836c-551271f6b69a&Agenda=Agenda&lang=English,2026-02-03,"<!DOCTYPE html>     <html lang=""en""> <head><meta charset=""utf-8"" /><meta http-equiv=""X-UA-Compatible"" content=""IE=edge;chrome=1"" /><meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" /><title> 	Council Meeting - May 20, 2025 </title><script src=""/bundles/modernizr?v=inCVuEF",Council,CHICKENS,True
CAMBRIDGE C,CAMBRIDGE C,https://pub-cambridge.escribemeetings.com/,2026-02-03,"<!DOCTYPE html>   <html id=""masterPageHeader"" xmlns=""http://www.w3.org/1999/xhtml"" lang=""en"" xml:lang=""en""> <head><meta charset=""utf-8"" /><meta http-equiv=""X-UA-Compatible"" content=""IE=edge;chrome=1"" /><meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" /><title> 	eSCRIBE Publ",Council,CHICKENS,True
CARLETON PLACE TP,CARLETON PLACE TP,https://pub-carletonplace.escribemeetings.com/,2026-02-03,"<!DOCTYPE html>   <html id=""masterPageHeader"" xmlns=""http://www.w3.org/1999/xhtml"" lang=""en"" xml:lang=""en""> <head><meta charset=""utf-8"" /><meta http-equiv=""X-UA-Compatible"" content=""IE=edge;chrome=1"" /><meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" /><title> 	eSCRIBE Publ",Council,CHICKENS,True
CASEY TP,CASEY TP,https://casey.ca/minutes/,2026-02-03,"<!DOCTYPE html><!--[if IE 7]> <html class=""ie ie7"" lang=""en-US"" prefix=""og: http://ogp.me/ns#""> <![endif]--> <!--[if IE 8]> <html class=""ie ie8"" lang=""en-US"" prefix=""og: http://ogp.me/ns#""> <![endif]--> <!--[if !(IE 7) & !(IE 8)]><!--> <html lang=""en-US"" prefix=""og: http://ogp.me/ns#""> <!--<",Council,CHICKENS,True
CAVAN MONAGHAN TP,CAVAN MONAGHAN TP,https://pub-cavanmonaghan.escribemeetings.com/Meeting.aspx?Id=4e0daf3e-ad7e-4e74-b0d9-07bf567f2e12&Agenda=Agenda&lang=English,2026-02-03,"<!DOCTYPE html>     <html lang=""en""> <head><meta charset=""utf-8"" /><meta http-equiv=""X-UA-Compatible"" content=""IE=edge;chrome=1"" /><meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" /><title> 	Regular Council - October 20, 2025 </title><script src=""/bundles/modernizr?v=inC",Council,CHICKENS,True
CENTRAL ELGIN M,CENTRAL ELGIN M,https://centralelgin.civicweb.net/filepro/documents/134005?handle=325B4562D4D74780AAA7C172A052169D,2026-02-03,"<!DOCTYPE html> <html lang=""en-CA"" xml:lang=""en-CA""> <head> 	<meta charset=""utf-8"" /> 	<title>Central Elgin - Document Center</title> 	<link id=""favicon"" rel=""icon"" href=""https://i.civicweb.net/Global/Images/icon.png"" type=""image/png"" /> 	<link rel=""apple-touch-icon"" href=""https://i.civicweb.n",Council,CHICKENS,True
CENTRAL HURON M,CENTRAL HURON M,https://centralhuron.civicweb.net/Portal/,2026-02-03,"  <!DOCTYPE html> <html id=""ctl00_HtmlTag"" prefix=""fb: http://www.facebook.com/2008/fbml"" lang=""en-CA"" xml:lang=""en-CA""> <head id=""ctl00_PageHead""><link href=""//code.jquery.com/ui/1.13.3/themes/smoothness/jquery-ui.css"" rel=""stylesheet""/> <title> 	Central Huron - Home </title><meta http-equiv",Council,CHICKENS,True
CENTRAL MANITOULIN M,CENTRAL MANITOULIN M,https://www.centralmanitoulin.ca/our-government/council/agendas-and-minutes/,2026-02-03,"<!DOCTYPE html> <html dir=""ltr"" lang=""en"" class=""no-js usn""> <head>             <!-- Google Analytics -->         <link rel=""dns-prefetch"" href=""//www.google-analytics.com"">      <!-- Google Fonts --> <link rel=""dns-prefetch"" href=""//fonts.googleapis.com""> <link rel=""dns-prefetch"" href=""//font",Council,CHICKENS,True
CHAMPLAIN TP,CHAMPLAIN TP,https://pub-champlain.escribemeetings.com/,2026-02-03,"<!DOCTYPE html>   <html id=""masterPageHeader"" xmlns=""http://www.w3.org/1999/xhtml"" lang=""en"" xml:lang=""en""> <head><meta charset=""utf-8"" /><meta http-equiv=""X-UA-Compatible"" content=""IE=edge;chrome=1"" /><meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" /><title> 	eSCRIBE Publ",Council,CHICKENS,True
CHAPLEAU TP,CHAPLEAU TP,https://www.chapleau.ca/township/administration/council-agenda-minutes/,2026-02-03,"<!DOCTYPE html>  <html lang=""en""> 	 	 <head> 	<meta name=viewport content=""width=device-width, initial-scale=1""> 	<meta charset=""UTF-8"" />           		<meta property=""og:title"" content=""Council Agenda & Minutes - Township of Chapleau"" /> 		<meta property=""og:image"" content=""https://chaple",Council,CHICKENS,True
CHATHAM KENT M,CHATHAM KENT M,https://pub-chatham-kent.escribemeetings.com/Meeting.aspx?Id=83633a45-4153-4ff4-a28d-d5a6014c5f63&Agenda=Agenda&lang=English,2026-02-03,"<!DOCTYPE html>     <html lang=""en""> <head><meta charset=""utf-8"" /><meta http-equiv=""X-UA-Compatible"" content=""IE=edge;chrome=1"" /><meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" /><title> 	Combined Council Meeting - May 27, 2024 </title><script src=""/bundles/modernizr?",Bill 185,DC,True
CHATSWORTH TP,CHATSWORTH TP,https://chatsworth.ca/wp-content/uploads/2025/08/16-May-3-2023-1.pdf,2026-02-03,"Township of Chatsworth ^-j!>v~- '0^ 0°. 'u' Tow^iipoF Council Minutes Chatsworth :,:^:^,::,::;.:' Wednesday, May 3, 2023, 9:30 a.m. Members Present: Mayor Scott Mackey Deputy Mayor Terry McKay Councillor Shawn Greig Councillor Elizabeth Thompson Councillor Peter Whitten Staff Present: CAO Clerk, Pat",Council,CHICKENS,True
CHISHOLM TP,CHISHOLM TP,https://www.chisholm.ca/en/your-government/meetings-agendas,2026-02-03," <!DOCTYPE html> <html lang=""en""> <head>   <meta charset=""utf-8"" />   <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" />   <title>Meetings & Agendas | Your Government | Township of Chisholm</title>   <meta name=""description"" />   <base href=""/"" />   <link rel=""styleshe",Council,CHICKENS,True
CLARINGTON M,CLARINGTON M,https://weblink.clarington.net/WebLink/ElectronicFile.aspx?docid=446757&dbid=0&repo=Clarington,2026-02-03,"If this information is required in an alternate format, please contact the Accessibility Co-ordinator at 905-623-3379 ext. 2131 Special Council Meeting Minutes Date: August 11, 2025 Time: 5:00 PM Location: Council Chambers or Electronic Participation Municipal Administrative Centre 40 Temperance Str",Council,CHICKENS,True
CLEARVIEW TP,CLEARVIEW TP,https://www.clearview.ca/file/2025-11-24-council-meeting-minutespdf-0,2026-02-03,"Township of Clearview Council Meeting Minutes The Council of the Corporation of the Township of Clearview met in a hybrid in-person (Council Chambers, 217 Gideon Street) and virtual zoom session on November 24th, 2025, at 5:30 p.m. Those in attendance were: Mayor: Douglas Measures Deputy Mayor: Paul",Council,CHICKENS,True
COBALT TP,COBALT TP,https://cobalt.ca/wp-content/uploads/2025/11/Minutes-Regular-Meeting-October-14-2025-signed.pdf,2026-02-03,"1 THE CORPORATION OF THE TOWN OF COBALT REGULAR COUNCIL MEETING COBALT COMMUNITY HALL October 14, 2025 MINUTES Present: Mayor: Angela Adshead Councillors: Pat Anderson Gary Hughes Rene Lafleur Jim Starchuk Doug Wilcox Staff: S. Dalley, Town Manager C. Beaudoin, Deputy Clerk-Treasurer 1. Call to Orde",Council,CHICKENS,True
COBOURG TP,COBOURG TP,https://pub-cobourg.escribemeetings.com/,2026-02-03,"<!DOCTYPE html>   <html id=""masterPageHeader"" xmlns=""http://www.w3.org/1999/xhtml"" lang=""en"" xml:lang=""en""> <head><meta charset=""utf-8"" /><meta http-equiv=""X-UA-Compatible"" content=""IE=edge;chrome=1"" /><meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" /><title> 	eSCRIBE Publ",Council,CHICKENS,True
COCHRANE TP,COCHRANE TP,https://cochrane.civicweb.net/Portal/,2026-02-03,"  <!DOCTYPE html> <html id=""ctl00_HtmlTag"" prefix=""fb: http://www.facebook.com/2008/fbml"" lang=""en-CA"" xml:lang=""en-CA""> <head id=""ctl00_PageHead""><link href=""//code.jquery.com/ui/1.13.3/themes/smoothness/jquery-ui.css"" rel=""stylesheet""/> <title> 	Cochrane - Home </title><meta http-equiv=""X-U",Council,CHICKENS,True
COCKBURN ISLAND TP,COCKBURN ISLAND TP,https://cockburnisland.ca/docs/2025/Minutes-Special_250729.pdf,2026-02-03,"CONFIDENTIAL SPECIAL MEETING MINUTES TOWNSHIP OF COCKBURN ISLAND COUNCIL 9:00AM, TUESDAY, JULY 29th, 2025 Meeting On-line by ZOOM at this link TIME- 11:00AM Mayor: Brenda Jones Councillors: Lee Chappell Jeff House Simon Lacombe Scott Stewart Clerk: Brent St. Denis Confidential Observer: Lynn Jackes ",Council,CHICKENS,True
COLLINGWOOD TP,COLLINGWOOD TP,https://pub-collingwood.escribemeetings.com/,2026-02-03,"<!DOCTYPE html>   <html id=""masterPageHeader"" xmlns=""http://www.w3.org/1999/xhtml"" lang=""en"" xml:lang=""en""> <head><meta charset=""utf-8"" /><meta http-equiv=""X-UA-Compatible"" content=""IE=edge;chrome=1"" /><meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" /><title> 	eSCRIBE Publ",Council,CHICKENS,True
CORNWALL C,CORNWALL C,https://pub-cornwall.escribemeetings.com/,2026-02-03,"<!DOCTYPE html>   <html id=""masterPageHeader"" xmlns=""http://www.w3.org/1999/xhtml"" lang=""en"" xml:lang=""en""> <head><meta charset=""utf-8"" /><meta http-equiv=""X-UA-Compatible"" content=""IE=edge;chrome=1"" /><meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" /><title> 	eSCRIBE Publ",Council,CHICKENS,True
CRAMAHE TP,CRAMAHE TP,https://pub-cramahe.escribemeetings.com/,2026-02-03,"<!DOCTYPE html>   <html id=""masterPageHeader"" xmlns=""http://www.w3.org/1999/xhtml"" lang=""en"" xml:lang=""en""> <head><meta charset=""utf-8"" /><meta http-equiv=""X-UA-Compatible"" content=""IE=edge;chrome=1"" /><meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" /><title> 	eSCRIBE Publ",Council,CHICKENS,True
DAWN EUPHEMIA TP,DAWN EUPHEMIA TP,https://dawneuphemia.ca/wp-content/uploads/2025/06/PUBLIC-Regular-Council-Agenda-Monday-June-16-2025.pdf,2026-02-03,"The Corporation of the Township of Dawn-Euphemia -AGENDA. Monday, June 16, 2025 - 6:3O pm REGULAR MEETING OF COUNCIL Municipal Office, 4591 Lambton Line Be advised that Council Meetings are being recorded and live streamed. lf you wish to attend via zoom, please contact the Clerk for an invitation. ",Council,CHICKENS,True
DAWSON TP,DAWSON TP,https://www.dawsontownship.ca/wp-content/uploads/2025/08/Dawson-council-minutes-July-2nd-2025.pdf,2026-02-03,"The minutes of the regular and budget consideration meeting of Dawson Township Council and held on Wednesday July 2nd 2025 at 7 pm in the Municipal Office. PRESENT Mayor D Hartnell. Councillors: B Langner, C Larocque & B Sands. Clerk- Treasurer: P W Giles. Road Supt/Fire Chief Randy Asselin. MINUTES",Council,CHICKENS,True
DORION TP,DORION TP,https://doriontownship.ca/township/council/agendas-minutes,2026-02-03,"<!DOCTYPE html> <html lang=""en"">     <head>          <title>Agendas &amp; Minutes :: Dorion Township</title>  <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""/> <meta name=""generator"" content=""concrete5""/> <meta name=""msapplication-TileImage"" content=""https://doriontownship.ca/appl",Council,CHICKENS,True
DOURO DUMMER TP,DOURO DUMMER TP,https://pub-douro-dummer.escribemeetings.com/,2026-02-03,"<!DOCTYPE html>   <html id=""masterPageHeader"" xmlns=""http://www.w3.org/1999/xhtml"" lang=""en"" xml:lang=""en""> <head><meta charset=""utf-8"" /><meta http-equiv=""X-UA-Compatible"" content=""IE=edge;chrome=1"" /><meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" /><title> 	eSCRIBE Publ",Council,CHICKENS,True
DRUMMOND NORTH ELMSLEY TP,DRUMMOND NORTH ELMSLEY TP,https://drummondnorthelmsley.civicweb.net/Portal/,2026-02-03,"<!DOCTYPE html> <html lang=""en-CA"" xml:lang=""en-CA""> <head> 	<meta charset=""utf-8"" /> 	<title>Drummond North Elmsley - Document Center</title> 	<link id=""favicon"" rel=""icon"" href=""https://i.civicweb.net/Global/Images/icon.png"" type=""image/png"" /> 	<link rel=""apple-touch-icon"" href=""https://i.c",Council,CHICKENS,True
