Municipality,County,Extraction Status,Source URL,NEW_bylaw_name,NEW_date_enacted,NEW_progress_label,NEW_has_lgd_definition,NEW_lgd_definition,NEW_has_herding_def,NEW_herding_definition,NEW_exempt_license_fees,NEW_collar_tag_req,NEW_barking_restrictions,NEW_exempt_barking,NEW_dog_limit,NEW_notes,OLD_bylaw_name,OLD_date_enacted,OLD_progress_label,OLD_has_lgd_definition,OLD_lgd_definition,OLD_has_herding_def,OLD_herding_definition,OLD_exempt_license_fees,OLD_collar_tag_req,OLD_barking_restrictions,OLD_exempt_barking,OLD_dog_limit,DB_bylaw_id
Brampton,Peel,SUCCESS,,Animal Services By-law 201-2023,2023-11-22,COMPLETE - FARM FRIENDLY,Yes,"""Livestock Guardian Dog"" is a Dog that works and/or lives with domestic farm Animals, including but not limited to sheep, cattle, and poultry, to protect them while repelling predators and is used exclusively for that purpose;",Yes,"""Herding Dog"" means a Dog that has been trained and is actively being used in a bona fide farming operation for the purposes of controlling livestock on the farm;",No,"Keep the tag issued by the City securely fixed on the Dog or Cat collar at all times. The Tag may be removed while a Dog is being lawfully used for hunting in the bush or in the case of a Livestock Guardian Dog or Herding Dog, while the Dog is being actively used in farming practices, provided that the Dog is identified by a microchip.",No,N/A,"No Person shall Keep or permit to be Kept more than a cumulative total of six (6) Cats and Dogs older than 3 months (12 weeks) of age on any Premises in the City, of which there may only be a maximum of three (3) Dogs.",Contains specific definitions for Livestock Guardian Dog and Herding Dog. Exempts these dogs from wearing a collar/tag while actively working if they are microchipped and registered.,By-law 201-2023,2023-11-22,COMPLETE,Yes,"a Dog that works and/or lives with domestic farm Animals, including but not limited to sheep, cattle, and poultry, to protect them while repelling predators and is used exclusively for that purpose;",Yes,a Dog that has been trained and is actively being used in a bona fide farming operation for the purposes of controlling livestock on the farm;,No,No,No,N/A,3,270
Centre Hastings,Hastings,SUCCESS,,By-Law 2022-04,2022-01-19,COMPLETE - FARM FRIENDLY,Yes,"""Livestock Guardian Dog"" means a dog that works and/or lives with domestic farm animals (i.e., cattle, sheep, goats) to protect them while aggressively repelling predators and is used exclusively for that purpose.",No,,No,"Every tag that is issued shall be kept securely fixed on the dog at all times when the dog is in a place other than the dwelling of its owner. The owner of a licenced Livestock Guardian Dog may remove the tag from a Livestock Guardian Dog's collar while the dog is being actively used for Livestock protection to repel predators, provided that the owner provides for alternative means of identification.",No,N/A,"No person shall keep, or cause to be kept, more than three (3) dogs, three (3) cats or a total of six (6) individual animals, except: ... (5) where the keeping of animals is on lands zoned and used for agricultural, agricultural support or agriculturally related purposes.",Defines Livestock Guardian Dog. Includes agricultural exemptions to dog limits and collar/tag requirements while actively working.,By-Law 2017-039,,NO BY-LAW IN PLACE,Yes,"a dog that works and/or lives with domestic farm animals (i.e., cattle, sheep, goats) to protect them while aggressively repelling predators and is used exclusively for that purpose.",No,,Yes,No,No,N/A,"none agricultural exemption, otherwise would be 3",522
Clearview,Simcoe,SUCCESS,,Unknown,,COMPLETE,No,,No,,N/A,,No,N/A,Unknown,URL NOT ACCESSIBLE,"By-law Number 21-84
Canine Control By-law",2021-08-23,COMPLETE,No,,No,,No,Yes,No,N/A,2,599
Clarington,Durham,SUCCESS,,By-Law 2013-024,2013-03-25,COMPLETE - FARM FRIENDLY,No,,No,,No,A pet owner shall ensure that the identification tag issued by the Municipality is kept securely affixed to its pet at all times.,Yes,No,"No person shall keep more than 3 dogs on a property without a permit. Section 3.20 shall not apply to any owner who keeps on property in an Agricultural Zone, ... (d) farming dogs provided the farming dog owner provides proof acceptable to the Municipal Clerk that the dogs are required as part of animal husbandry.",Agricultural exemptions to the dog limit are permitted for farming dogs required as part of animal husbandry on properties zoned Agricultural.,By-Law 2013-024,2013-03-25,COMPLETE,No,,No,,No,Yes,No,N/A,none 3.22 (d) farming dogs provided the farming dog owner provides proof acceptable to the Municipal Clerk that the dogs are required as part of animal husbandry;,592
Central Manitoulin,Manitoulin,SUCCESS,,By-law #2022-12,2022-12-15,COMPLETE - FARM FRIENDLY,Yes,"""Livestock guardian dog"" means a dog that (a) is identifiably of a breed this is generally recognized as suitable for the purposes of protection of livestock from predation, and (b) lives with a flock or herd of livestock;",No,,No,"The owner shall keep the dog tag securely fixed on the dog at all times until the tag is renewed or replaced, but the tag may be removed while the dog is within the premises of the owner.",Yes,No,In all areas of the Municipality having a lot area of less than 0.4 ha (1 acre) the maximum number of dogs permitted per household shall be two (2). In all areas of the Municipality having a lot area of equal to or more than 0.4 ha (1 acre) the maximum number of dog permitted per household shall be (3).,Defines Livestock guardian dog. Exempts LGDs from outdoor shelter requirements if they have ready access to a structurally sound building used to house livestock.,BY-LAW #2022-12,2022-12-15,NO BY-LAW IN PLACE,Yes,"a dog that (a) is identifiably of a breed t is is generally recognized as suitable for the purposes of protection of livestock from predation, and (b) lives with a flock or herd of livestock;",No,,No,Yes,Yes,No,2 if a lot area of less than 0.4 ha (1 acre) 3 if a lot area of equal to or more than 0.4 ha (1 acre),515
Caledon,Peel,SUCCESS,,Unknown,,COMPLETE,No,,No,,N/A,,No,N/A,Unknown,URL NOT ACCESSIBLE,BY-LAW NO. 2019-43,2019-06-25,COMPLETE,No,,No,,No,Yes,No,N/A,3,375
Cochrane,Cochrane,SUCCESS,,Unknown,,COMPLETE,No,,No,,N/A,,No,N/A,Unknown,URL NOT ACCESSIBLE,BYLAW 04/2016,2016-03-14,NO BY-LAW IN PLACE,No,,No,,No,Yes,Yes,No,none,620
Armstrong,Timiskaming,SUCCESS,,BY-LAW NO. 2022-47,2023-01-11,COMPLETE - FARM FRIENDLY,Yes,"""Livestock Guardian Dog"" means a dog that works and/or lives with domestic farm animals (e.g., cattle, sheep, poultry) to protect them while repelling predators and is used exclusively for that purpose.",Yes,"""Herding Dog"" means a dog that has been trained and is actively being used in a bona fide farming operation for the purposed of controlling livestock on the farm.",Yes,"Every owner of a dog... shall keep the tag securely fixed... an owner need not keep the tag on his or her dog... if the dog is a Livestock Guardian Dog or a Herding Dog and the dog is being actively used in farming practices, and has been tattooed or implanted with a microchip.",Yes,Yes,"4 dogs and 6 cats for zoned rural and agricultural. All other zones: Two (2) dogs... Notwithstanding Section 4.2.1 this requirement shall not apply to owners of Livestock Guardian Dogs, Herding Dogs... while such dogs... are kept in an area which is zoned 'agricultural/rural' pursuant to the Zoning By-Law and said dogs are kept for agricultural uses in accordance with their defined function.","Highly farm-friendly bylaw. Includes fee exemptions for LGDs and herding dogs, exempts them from barking restrictions, dog limits, and collar/tag requirements while actively engaged.",BY-LAW NO. 2022-47,2023-01-11,NO BY-LAW IN PLACE,Yes,"a dog that works and/or lives with domestic farm animals (e.g., cattle, sheep, poultry) to protect them while repelling predators and is used exclusively for that purpose.",Yes,a dog that has been trained and is actively being used in a bona fide farming operation for the purpose of controlling livestock on the farm.,No,Yes,Yes,Yes,4 (agricultural zones),102
Enniskillen,Lambton,SUCCESS,,BL 24 of 2011,,COMPLETE,No,,No,,No,Failure to display a dog tag is an offence subject to fine.,Yes,No,The total number of dogs owned by all of the persons comprising any one household within the limits of the municipality shall be restricted to three (3)... The restriction in numbers of dogs shall not apply to any licensed Dog Kennel within the Township.,Standard animal control bylaw with no specific farm-friendly LGD provisions mentioned.,BY-LAW 24 of 2011,,NO BY-LAW IN PLACE,No,,No,,No,Yes,Yes,No,none,844
Drummond-North Elmsley,Lanark,SUCCESS,,Unknown,,COMPLETE,No,,No,,N/A,,No,N/A,Unknown,URL NOT ACCESSIBLE,BY-LAW NO. 2019-024,2019-04-23,COMPLETE,No,,No,,N/A,N/A,Yes,No,5,711
Cobalt,Timiskaming,SUCCESS,,BY-LAW NO. 2013-037,,COMPLETE - FARM FRIENDLY,Yes,,Yes,,N/A,Unknown,Yes,N/A,Unknown,"The bylaw index lists sections specifically defining 'Livestock Guardian Dog' (2.31) and 'Herding Dog' (2.25), but the exact text is not accessible.",BY-LAW NO. 2013-037,2013-11-26,NO BY-LAW IN PLACE,Yes,"a dog that works and/or lives with domestic farm animals (e.g. cattle, sheep, poultry) to protect them while repelling predators and is used exclusively for that purpose.",Yes,a dog that has been trained and is actively being used in a bona fide farming operation for the purposed of controlling livestock on the farm.,Yes,No,Yes,Yes,none 4.2.3 not apply to owners of Livestock Guardian Dogs and Herding Dogs while such dogs are kept in an area which is zoned “agricultural’ pursuant to the Zoning By-Law and said dogs are kept for agricultural uses in accordance with their defined function.,606
Essa,Simcoe,SUCCESS,,BY-LAW NO. 2006-18,,COMPLETE - FARM FRIENDLY,Yes,"""Livestock Guardian Dog"" (LGD) means a dog that is specifically trained to work or live with domestic animals (e.g. cattle, sheep, poultry) without causing harm while aggressively repelling predators and is used exclusively for that purpose.",Yes,"""Herding dog"" means a dog that has been trained to and actively assists its owner(s) with herding in a bona fide farming operation for the purposes of controlling livestock on the farm.",No,"This By-law shall exempt livestock guardian and herding dog(s) that are being used in active farming practices from the requirement for the dog(s) to wear a collar and tag, provided that the owner uses an alternative means of identification such as microchipping.",Yes,Unknown,"No one person shall, nor shall any one household own, possess, harbour, board, or license more than three dogs unless the person or household holds a valid kennel license pursuant to the Township's most current Business Licensing By-law.",Includes clear definitions and an explicit exemption from collar/tag requirements for LGDs and herding dogs on active farms.,"BY-LAW NO. 2006 - 18
amended 2023-09",2006-03-15,COMPLETE - FARM FRIENDLY,Yes,"a dog that is specifically trained to work or live with domestic animals (e.g. cattle, sheep, poultry) without causing harm while aggressively repelling predators and is used exclusively for that purpose.",Yes,a dog that has been trained to and actively assists its owner(s) with herding in a bona fide farming operation for the purposes of controlling livestock on the farm.,Yes,No,Yes,Yes,3,865
Grey Highlands,Grey,SUCCESS,,Unknown,,COMPLETE,No,,No,,N/A,,No,N/A,Unknown,URL NOT ACCESSIBLE,By-law No. 2021-071,2021-07-21,COMPLETE,No,,No,,No,Yes,No,N/A,5 3.4LIMIT OF DOGS (a)No person shall keep or harbour more than three (3) dogs at any one time in a dwelling unit or on any individually conveyable land located within the boundaries of the Municipality. (b)Section 3.4 (a) shall not apply to the keeping of 2 additional hunting/working dogs,1054
Gravenhurst,Muskoka,SUCCESS,,Unknown,,COMPLETE,No,,No,,N/A,,No,N/A,Unknown,URL NOT ACCESSIBLE,BY-LAW NO. 2018-26,2018-03-20,COMPLETE,Yes,"a dog that is specifically trained to work and live with domestic farm animals ( i. e. cattle, sheep) without causing them harm while aggressively repelling predators and is used exclusively for that purpose, and includes the following breeds; Akbash, Great Pyrenees, Komondor, and Maremma.",No,,Yes,No,Yes,No,"3.4 Council will consider written requests for exemptions to the maximum number of dogs in special circumstances, and when the number of dogs exceeds the maximum when Farm Working Dog( s), Livestock Guardian dog( s), Hunting dog( s) are included in the total number of dogs.",1019
Greater Napanee,Lennox and Addington,SUCCESS,,By-law No. 2024-0055,2024-01-01,COMPLETE - FARM FRIENDLY,Yes,"""Working Farm Dogs"" include dogs that are used for herding or guarding livestock on a farm.",No,,No,"Ensure that the Dog identification tag, issued as part of the registration, is displayed on the Dog's collar, and that the said collar is always affixed to the Dog.",Yes,Unknown,Unknown,"Classifies both livestock guardian dogs and herding dogs together under the definition of ""Working Farm Dogs"".",By-law No. 2024-0055,2024-09-24,NO BY-LAW IN PLACE,Yes,“Working Farm Dogs” include dogs that are used for herding or guarding livestock on a farm.,No,,Yes,No,Yes,Yes,3 (does not apply to farm dogs),1033
Halton Hills,Halton,SUCCESS,,Unknown,,COMPLETE,No,,No,,N/A,,No,N/A,Unknown,URL NOT ACCESSIBLE,BY-LAW NO. 94-077 – CONSOLIDATED,1994-06-13,COMPLETE - FARM FRIENDLY,Yes,"an animal that works and/or lives with domestic farm animals (eg. Cattle, sheep, poultry) to protect them while repelling predators and is used exclusively for that purpose.",Yes,a dog that has been trained to and is actively being used in a bona fide farming operation for the purposes of controlling livestock on the farm.,No,Yes,No,N/A,3,1103
Guelph-Eramosa,Wellington,SUCCESS,,By-law Number 080-2016,2016-12-05,COMPLETE,No,,No,,No,No person shall within the Township own any dog without having obtained a license and dog tag for the dog from the Township.,Yes,No,"A maximum of 3 (three) dogs may be owned, harboured or kept within or about any dwelling or building within the Township of Guelph/Eramosa.",Standard animal control bylaw with no farm-friendly LGD provisions.,"By-law Number 80/2016
Dog by-Law",2016-12-05,COMPLETE,No,,No,,No,Yes,Yes,No,3,1082
Fort Erie,Niagara,SUCCESS,,Unknown,,COMPLETE,No,,No,,N/A,,No,N/A,Unknown,URL NOT ACCESSIBLE,By-law No. 73-2021,2021-05-31,COMPLETE - FARM FRIENDLY,No,,No,,No,Yes,Yes,Yes,3,907
Innisfil,Simcoe,SUCCESS,,Unknown,,COMPLETE,No,,No,,N/A,,No,N/A,Unknown,URL NOT ACCESSIBLE,By-Law 069-22,2022-06-22,COMPLETE,Yes,"a dog that works and/or lives with domestic farm animals (e.g., cattle, sheep, poultry) to protect them while repelling predators and is used exclusively for that purpose.",Yes,a dog that has been trained and is actively being used in a bona fide farming operation for the purposes of controlling livestock on the farm.,No,Yes,Yes,Yes,6 1.12.4 A bona fide farmer to a maximum of six (6) Herding Dogs and Livestock Guardian Dogs on an operating farm property.,1299
Kenora,Kenora,SUCCESS,,Unknown,,COMPLETE,No,,No,,N/A,,No,N/A,Unknown,URL NOT ACCESSIBLE,By-Law Number 150-2010,2010-08-09,NO BY-LAW IN PLACE,No,,No,,No,Yes,Yes,No,4 3.1 Subject to Section 3.2 no dwelling or property within the Municipality shall house more than two (2) dogs with the exception of the rural areas in which case up to four (4) dogs shall be allowed. Persons not in the rural designated areas within the Municipality wishing to have more than 2 dogs may make application to the City for a variance.,1362
London,Middlesex,SUCCESS,,Dog Licensing and Control By-law - PH-4,,COMPLETE,No,,No,,No,"Owners are required to identify their domestic animals by animal identification systems including tagging, tattooing and microchip implantation.",Unknown,N/A,No person shall keep or permit to be kept more than three dogs within or about any dwelling unit. Registered kennels under the Animal Pedigree Act are exempt.,Standard animal control bylaw with no farm-friendly LGD provisions.,By-law PH-4,2021-10-26,COMPLETE - FARM FRIENDLY,No,,No,,No,Yes,No,N/A,3,1551
King,York,SUCCESS,,Unknown,,COMPLETE,Unknown,,Unknown,,Unknown,,Unknown,Unknown,Unknown,URL NOT ACCESSIBLE,BY-LAW NUMBER 2016-85,2016-09-12,COMPLETE,No,,No,,No,Yes,Yes,No,4,1397
Loyalist,Lennox and Addington,SUCCESS,,Unknown,,COMPLETE,Unknown,,Unknown,,Unknown,,Unknown,Unknown,Unknown,URL NOT ACCESSIBLE,BY-LAW 2011-069,2011-08-29,COMPLETE,No,,No,,No,Yes,Yes,No,3,1558
Kincardine,Bruce,SUCCESS,,By-law No. 24-159,,COMPLETE,No,,No,,No,"Every Person residing within the limits of the Municipality, who is the Owner of a Dog, shall cause the Dog to be Licenced.",Unknown,N/A,"No Person shall own, keep, possess or harbour more than three (3) Dogs at any one time, per dwelling unit, location or residence within the Municipality, with the exception of a licensed Kennel, an animal hospital/veterinary clinic, or a pet store.",Standard animal control bylaw with no farm-friendly LGD provisions.,BY-LAW NO. 2024 – 159,2024-11-24,NO BY-LAW IN PLACE,Yes,“Livestock Guardian Dog” shall mean a Dog used for the purpose of protecting Livestock from predators.,No,,Yes,No,Yes,No,3,1390
Greater Sudbury,Sudbury,SUCCESS,,By-law 2017-22,,COMPLETE,No,,No,,No,"Dog Tag means the current Dog Tag provided by the License Issuer upon issuing a License for a Dog pursuant to this By-law, for attachment to the Dog identified in the License.",Unknown,N/A,Unknown,Standard animal control bylaw with no farm-friendly LGD provisions.,By-law 2017-22,2017-01-10,COMPLETE,No,,No,,No,Yes,Yes,No,2,1040
Huron Shores,Algoma,SUCCESS,,Unknown,,COMPLETE,Unknown,,Unknown,,Unknown,,Unknown,Unknown,Unknown,URL NOT ACCESSIBLE,BY-LAW #22-76,2022-09-28,NO BY-LAW IN PLACE,Yes,"a dog that works and/or lives with domestic farm animals (e.g. cattle, sheep, poultry) to protect them while repelling predators and is used exclusively for that purpose.",Yes,a dog that has been trained and is actively being used in a bona fide farming operation for the purposes of controlling livestock on the farm.,No,No,No,N/A,none 4.7.1 No Person shall keep or permit in or about any dwelling unit or premises more than four (4) Dogs over twelve (12) weeks of age except where: a) the Premises consists of lands zoned and used for agricultural purposes;,1264
McDougall,Parry Sound,SUCCESS,,Unknown,,COMPLETE,Unknown,,Unknown,,Unknown,,Unknown,Unknown,Unknown,URL NOT ACCESSIBLE,BY-LAW NO. 2013-33,2013-05-15,NO BY-LAW IN PLACE,No,,Yes,a dog used for herding of farm fowl or animals and is actively participating in herding.,No,Yes,Yes,No,3,1691
Ashfield-Colborne-Wawanosh,Huron,SUCCESS,,By-law Number 30-2022,,COMPLETE - FARM FRIENDLY,No,,No,,N/A,"Requires a 'Dog Identifier', meaning a physical tag attached to the Dog or Microchip bearing information that identifies the Owner of the Dog.",Unknown,N/A,"Urban area: 2 dogs. Rural areas: 5 dogs. Exemption: In a rural area, a person may Harbour more than five (5) Dogs on a property without a Kennel License, provided (a) the person is keeping Livestock upon the same property; (b) the property is zoned agricultural.","Does not specifically define LGDs, but provides an exemption to the 5-dog limit in rural areas for properties keeping livestock on agricultural zoned land.",BY-LAW NUMBER 30-2022,2022-04-05,COMPLETE - FARM FRIENDLY,Yes,"a Dog that works and/or lives with domestic farm animals (e.g. cattle, sheep, poultry) to protect them by repelling predators and is used exclusively for that purpose.",Yes,a Dog that has been trained and is actively being used in a bona fide farming operation for the purposes of controlling Livestock on the farm.,N/A,Yes,Yes,No,"none 4.6 In a rural area, a person may Harbour more than five (5) Dogs on a property without a Kennel License, provided, (a) the person is keeping Livestock upon the same property; (b) the property is zoned agricultural pursuant to the Municipality's Zoning Bylaw, By-law 32-2008, as amended; and, (c) the Dogs are Livestock Guardian Dogs and or Herding Dogs.",123
Middlesex Centre,Middlesex,SUCCESS,,By-Law 2012-030,,COMPLETE,No,,No,,No,Every owner of a dog shall keep the dog licence securely fixed on the dog at all times when the dog is not on the premises.,Unknown,N/A,Unknown,Standard animal control bylaw with no farm-friendly LGD provisions.,"BY-LAW NUMBER 2012-030
Animal Control By-Law (Ammended 2017)",2012-03-21,COMPLETE,No,,No,,No,Yes,NOT KNOWN,NOT KNOWN,"See SECTION 13 - LIMITATIONS No person or persons shall keep more than three (3) dogs in or about any dwelling unit in the municipality, except that any person who, on the first day of January 1998, was keeping more than three (3) dogs that had been previously licensed by The Corporation of the Township of Delaware, Township of Lobo, or Township of London, may keep those dogs until they have died or otherwise disposed of.",1747
Laurentian Valley,Renfrew,SUCCESS,,BY-LAW NUMBER 2017-09-036,2017-09-19,COMPLETE - FARM FRIENDLY,No,,No,,No,Requires licensing and an animal identification system.,Yes,Yes,Unknown,"The definition of 'Nuisance Animal', which covers excessive barking and howling, explicitly excludes animals kept or harboured on a farm.",BY-LAW NUMBER 2017-09-036,2017-09-19,NO BY-LAW IN PLACE,No,,No,,No,Yes,Yes,No,none,1523
New Tecumseth,Simcoe,SUCCESS,,Canine Control By-law No. 2017-077,,COMPLETE - FARM FRIENDLY,Yes,"“Livestock Guardian Dogs” means a dog that is specifically trained to work and/or live with domestic farm animals (i.e. cattle, sheep) without causing harm while aggressively repelling predators and is used exclusively for that purpose; “Farm Working Dog” means a dog that is specifically trained to and actively assists its owner(s) with herding and/or protection of livestock and where the owner(s) can demonstrative they are active livestock producers/farmers;",No,,Yes,An Owner shall keep the Dog Tag securely affixed to the Dog’s collar or other restraining device whenever the Dog is off the owner’s property.,No,N/A,3 Dogs in any Urban area of the Town. 5 Dogs in any Rural area of the Town.,Very farm-friendly bylaw. Specifically defines both 'Farm Working Dog' and 'Livestock Guardian Dogs'. Allows up to 5 dogs in rural areas without a special exemption. The Town’s Fees and Charges By-law explicitly exempts 'livestock guardian dogs' and 'working dogs' from annual dog tag fees (No Charge).,By-law 2017-077,2017-05-29,COMPLETE,Yes,"a dog that is specifically trained to work and/or live with domestic farm animals (i.e. cattle, sheep) without causing harm while aggressively repelling predators and is used exclusively for that purpose;",No,,Yes,Yes,No,N/A,"2.2 No person shall keep or Harbour more than five (5) Dogs at any one time in a Dwelling Unit, building or property in any Rural area of the Town 2.3 Any person wishing more than five (5) Dogs in a Rural Area shall: 2.2.1 Apply in writing to the Town Clerk…",1880
