Municipality,County,Tier,Region,DB Status,DB Bylaw Name,DB Date Enacted,DB Has LGD Def,Audit Result,Link Status,Bylaw Name Match,LGD Keywords Found,Snippet,Source URL,Website Bylaw Links Found,Notes
Bluewater,Huron,Lower Tier,Western,NO BY-LAW IN PLACE,By-law 34-2015,2015-03-16,Yes,NEW LGD PROVISIONS,200 OK,YES (exact),livestock guardian; guardian dog; herding dog; [pattern: farming operation for the purposes of controlling livestock ]; [pattern: exempt the owner in whole or in part from the requirement to],"... ducks, turkeys, guinea fowl, etc.), horse, donkey, mule, bull, ox, cow or other cattle, goat, swine, sheep, llama, mink, fox, emu, ostrich but not limited to the aforementioned or the young thereof. ""

 ---> LIVESTOCK GUARDIAN <--- 

 Dog"" means a dog that works and/or lives with domestic farm animals (e.g. cattle, sheep, poultry) to protect them by repelling predators and is used exclusively for that purpose. ""Municipality"" means ...",https://www.municipalityofbluewater.ca/municipal-office/by-laws/animal-control-by-law/,,LGD keywords found in bylaw: livestock guardian; guardian dog; herding dog
Brethour,Timiskaming,Single Tier,Northern,NULL,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Bancroft,Hastings,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW NO. 85-2022,2022-09-13,Yes,NO LGD PROVISIONS,200 OK,YES (number_match),,,https://bancroft.civicweb.net/filepro/documents/59492/?preview=108981,,Has animal control bylaw but no LGD-specific provisions found
Athens,Leeds and Grenville,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW # 00-01-03,2001-01-01,No,NEEDS REVIEW,HTTP 404,,,,https://www.athenstownship.ca/doocuments/by-laws/16-bylaw-dog/file,,Had a bylaw link but it's now broken — may have been replaced
Arnprior,Renfrew,Lower Tier,Eastern,NO BY-LAW IN PLACE,"By-law Number 5991-11, 
as amended by Bylaw 6149-12",2011-07-11,No,NEW LGD PROVISIONS,200 OK,YES (number_match),working dog,"... of
the provisions of this by-law.
6.7 In addition to the requirements of this By-law, the owner of a ""dangerous dog""
may be subject to other legislation.
6.8 This section shall not apply to a police 

 ---> WORKING DOG <--- 

 while on duty.
7. Rabies Control
7.1 Any animal which has bitten a person shall be promptly reported to the Town of
Arnprior and/or the Renfrew County Health Department and shall be securely
quaranti ...",https://www.arnprior.ca/en/town-hall/resources/Documents/By-Laws/Animal-control-By-law-(Accessible-ms).pdf,Animal Control (http://www.arnprior.ca/en/living-here/animal-control.aspx),LGD keywords found in bylaw: working dog
Billings,Manitoulin,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW 2020-24,2020-09-20,No,NEEDS REVIEW,HTTP 404,,,,https://billingstwp.ca/wp-content/uploads/2020-24-Dog.pdf,,Had a bylaw link but it's now broken — may have been replaced
Bonnechere Valley,Renfrew,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW NUMBER 2005-36,2005-06-13,No,NEEDS REVIEW,HTTP 500,,,,https://www.bonnecherevalleytwp.com/download.php?dl=YToyOntzOjI6ImlkIjtzOjI6IjUzIjtzOjM6ImtleSI7aTo0O30=,Animal Control (https://www.bonnecherevalleytwp.com/departments/animal-control/),Had a bylaw link but it's now broken — may have been replaced
Bonfield,Nipissing,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW 2024-29,2024-04-30,Yes,NEEDS REVIEW,HTTP 404,,,,https://bonfieldtownship.com/uploads/Animal%20Control/8.b%202024-29%20Animal%20Control%20By-law-5.pdf,Animal Services (https://www.bonfieldtownship.com/township-services/animal-services/); Pet Tags (https://www.bonfieldtownship.com/township-services/applications-licences-permits),Had a bylaw link but it's now broken — may have been replaced
Aylmer,Elgin,Lower Tier,Western,COMPLETE,BY-LAW NO. 09-06,2006-02-27,No,OUTDATED,200 OK,YES (exact),,,https://aylmer.ca/wp-content/uploads/2021/01/By-Law09-06-Animals.pdf,,"Newer bylaw detected: any other By-Law in
contravention with the provisions of this By-Law are hereby repealed
9
READ A First and second time this 13th day of February, 2006
MAYOR
CLERK
READ"
Bradford West Gwillimbury,Simcoe,Lower Tier,Central,COMPLETE,By-Law Number 2019-109,2019-12-17,No,OUTDATED,200 OK,YES (exact),,,https://www.townofbwg.com/en/town-hall/animal-control-by-law.aspx,Animal Services (https://www.townofbwg.com/en/living-in-bwg/animal-services.aspx),"Newer bylaw detected: ional and Effective Date Repeal 10.1   By-laws 1994-035 and 2006-027 are hereby repealed in their entirety. 10.2   Notwithstanding the above by-laws repealed, they shal"
Ajax,Durham,Lower Tier,Central,COMPLETE,BY-LAW NUMBER 48-2017,2017-06-26,No,NEEDS REVIEW,200 OK,NO,,,https://www.ajax.ca/Modules/Bylaws/Bylaw/Download/1d18be84-8f82-4259-91a1-f8ea30eb8751,Animal Services (http://www.ajax.ca/en/inside-townhall/animal-services.aspx?_mid_=7310); Animal Services (http://www.ajax.ca/en/inside-townhall/animal-services.aspx?_mid_=7460); License My Pet (http://www.ajax.ca/en/inside-townhall/animal-services.aspx?_mid_=12468),Link live but bylaw name not found in document — may have been replaced
Brant,Brant,Single Tier,Western,COMPLETE,BY-LAW NUMBER 174-10,2010-08-10,No,LINK BROKEN,HTTP 404,,,,https://www.brant.ca/en/bylaws-and-animal-services/resources/Documents/Animal-Bylaw---County-of-Brant.pdf,Parking (https://www.brant.ca/bylaws-and-animal-services/parking/); Parking Penalty Notices (https://www.brant.ca/bylaws-and-animal-services/parking/parking-penalty-notices/); Bylaws (https://www.brant.ca/bylaws-and-animal-services/regulatory-bylaws/),HTTP HTTP 404 — link may be dead
Brockton,Bruce,Lower Tier,Western,NO BY-LAW IN PLACE,By-Law 2020-082,2020-07-14,No,NEEDS REVIEW,HTTP 404,,,,https://www.brockton.ca/en/our-services/resources/By-laws/2020/By-Law-2020-082---Dog-Control-By-Law-Set-Fines-Included.pdf,Animal Services (https://www.brockton.ca/living-here/animal-services/),Had a bylaw link but it's now broken — may have been replaced
Burlington,Halton,Lower Tier,Central,COMPLETE,BY-LAW NUMBER 60-2005,2005-06-13,No,LINK BROKEN,HTTP 404,,,,https://www.burlington.ca/en/by-laws-and-animal-services/resources/By-laws/By-law-Search/060-2005%20By-law.pdf,,HTTP HTTP 404 — link may be dead
Bracebridge,Muskoka,Lower Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 2013-078,2014-01-22,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://bracebridge.civicweb.net/document/13301/,Animal Services (http://www.bracebridge.ca/live-here/animal-services/),Has animal control bylaw but no LGD-specific provisions found
Calvin,Nipissing,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NEEDS REVIEW,NO LINK,N/A (no name in DB),,,,Northern Producer Animal Health Network (http://www.calvintownship.ca/en/general-information/northern-producer-animal-hea),No bylaw link in DB but animal-related links found on website
"Brudenell, Lyndoch and Raglan",Renfrew,Lower Tier,Eastern,NO BY-LAW IN PLACE,,,,NEEDS REVIEW,NO LINK,N/A (no name in DB),,,,Report a nuisance bear? (https://blrtownship.ca/article/wild-animals/),No bylaw link in DB but animal-related links found on website
Brock,Durham,Lower Tier,Central,COMPLETE - FARM FRIENDLY,BY-LAW NUMBER 2446-2012-PP,2013-11-04,No,LINK BROKEN,HTTP 404,,,,https://www.townshipofbrock.ca/Modules/Bylaws/Bylaw/Download/0edd252b-29d1-469b-b567-59e5e94df310,Animal Services (http://townshipofbrock.ca/resident-services/animal-services/),HTTP HTTP 404 — link may be dead
Bruce Mines,Algoma,Single Tier,Northern,NO BY-LAW IN PLACE,BYLAW NO. 2004-23,2004-06-07,No,NEEDS REVIEW,HTTP 404,,,,https://brucemines.ca/documents/assets/uploads/files/en/2004_-_dog_bylaw.pdf,,Had a bylaw link but it's now broken — may have been replaced
Burk's Falls,Parry Sound,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 8-2017,2017-05-23,No,NO LGD PROVISIONS,200 OK,,,,https://irp-cdn.multiscreensite.com/55929d1f/files/uploaded/2017-08.pdf,ANIMAL CONTROL (http://www.burksfalls.net/my-services/animal-control),Has animal control bylaw but no LGD-specific provisions found
Burpee and Mills,Manitoulin,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 2013-05,2013-07-03,No,NO LGD PROVISIONS,200 OK,NO,,,https://www.burpeemills.com/municipality/by-laws/,,Has animal control bylaw but no LGD-specific provisions found
Augusta,Leeds and Grenville,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW NUMBER 3745-2024,2024-11-25,Yes,NO LGD PROVISIONS,200 OK,YES (exact),,,https://augusta.ca/wp-content/uploads/3745-2024-Canine-Control-By-Law.pdf,Animal Services (https://augusta.ca/municipal-enforcement/animal-services/); online (https://augusta.ca/municipal-enforcement/animal-services/dog-license-application),Has animal control bylaw but no LGD-specific provisions found
Carlow-Mayo,Hastings,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW 22-2021,2021-07-13,No,NEEDS REVIEW,HTTP 403,,,,https://carlowmayo.ca/wp-content/uploads/2023/01/Regulating-the-Keeping-of-Dogs-22-2021.pdf,,Had a bylaw link but it's now broken — may have been replaced
Carling,Parry Sound,Single Tier,Northern,NO BY-LAW IN PLACE,"BY-LAW NO. 2004-4
amended by BY-LAW 2018-01",2004-02-02,No,NEEDS REVIEW,HTTP 403,,,,https://carling.ca/wp-content/uploads/04-2004-Licencing-and-Control-of-Dogs-Consolidated.pdf,,Had a bylaw link but it's now broken — may have been replaced
Casey,Timiskaming,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Cambridge,Waterloo,Lower Tier,Western,COMPLETE,BY-LAW NO. 172-13,2014-01-01,No,LINK BROKEN,HTTP 404,,,,https://www.cambridge.ca/Modules/Bylaws/Bylaw/Download/0ac52657-74d5-4c8f-96d5-4f24592028df,Animal Services (http://www.cambridge.ca/resident-services/animal-services/),HTTP HTTP 404 — link may be dead
Chamberlain,Timiskaming,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Cavan Monaghan,Peterborough,Lower Tier,Central,COMPLETE - FARM FRIENDLY,By-law No. 2023-85,2023-12-18,No,LINK BROKEN,HTTP 404,,,,https://www.cavanmonaghan.net/en/local-government/resources/By-law-No.-2023-85.pdf,,HTTP HTTP 404 — link may be dead
Central Frontenac,Frontenac,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW #1998-3,1998-02-02,No,NO LGD PROVISIONS,200 OK,NO,,,https://frontenac.civicweb.net/filepro/documents/search/?preview=147042,Animal Services (http://www.centralfrontenac.com/en/living-here/animal-control.aspx),Has animal control bylaw but no LGD-specific provisions found
Carleton Place,Lanark,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW NO. 122-2018,2018-12-18,No,NEEDS REVIEW,HTTP 404,,,,https://carletonplace.ca/photos/custom/Certified-Consolidated-Copy-Animal-Control-By-Law.pdf,Bylaw Department and Animal Control (https://carletonplace.ca/town/municipal-services-info/bylaw-department-and-anima),Had a bylaw link but it's now broken — may have been replaced
Brighton,Northumberland,Lower Tier,Central,COMPLETE,By-Law No. 052-2020,2020-06-01,No,OUTDATED,200 OK,YES (exact),,,https://www.brighton.ca/en/municipal-services/resources/By-law-052-2020-Regulate-Dog-Control.pdf,Animal Control (http://www.brighton.ca/en/living-here/animal-control.aspx),"Newer bylaw detected: .
Section 9.0: Repeal
9.1 That By-Law 062-2012, 287-2005 and 144-2003 is hereby repealed in it’s
entirely.
Read a first and second time and read a third time and finall"
Charlton-Dack,Timiskaming,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Champlain,Prescott and Russell,Lower Tier,Eastern,NULL,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Centre Wellington,Wellington,Lower Tier,Western,COMPLETE,"By-law 2019-70
Centre Wellington Animal By-law",2019-12-16,No,LINK BROKEN,HTTP 404,,,,https://www.centrewellington.ca/en/township-services/resources/Documents/LegislativeServices/19-70.pdf,Animal Services (https://www.centrewellington.ca/township-services/animal-services/),HTTP HTTP 404 — link may be dead
Chapple,Rainy River,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Chatsworth,Grey,Lower Tier,Western,COMPLETE,By-law Number 2019-32,2019-05-01,No,LINK BROKEN,HTTP 404,,,,https://chatsworth.ca/wp-content/uploads/2023/03/2019-32-Animal-Control-By-law-Dogs-and-Kennels-amended-BL-2020-76.pdf,,HTTP HTTP 404 — link may be dead
Barrie,Simcoe,Single Tier,Central,COMPLETE,By-law 2010-035,2010-02-22,No,OUTDATED,200 OK,YES (exact),,,https://www.barrie.ca/media/3941,,"Newer bylaw detected: .0.0.0 to 4.14.15.0.0, as amended
regarding animals including exotic animals be repealed.
24.2.0.0.0 That By-law 2006-257 regarding cats be repealed.
25.0.0.0.0 FORCE A"
Central Elgin,Elgin,Lower Tier,Western,NO BY-LAW IN PLACE,"BY- LAW 1139
Municipality of Central Elgin Dog Control By -Law",2009-05-25,No,NO LGD PROVISIONS,200 OK,NO,,,https://www.centralelgin.org/By-laws/By-law-1139---Dog-Control.pdf,,Has animal control bylaw but no LGD-specific provisions found
Brockville,Leeds and Grenville,Single Tier,Eastern,NO BY-LAW IN PLACE,"By-Law No. 7-82
Consolidated 2017",1982-01-26,No,NO LGD PROVISIONS,200 OK,NO,,,https://brockville.com/wp-content/uploads/2023/03/Animal_Control_bylaw_007-1982_-1.pdf,Animals and Pets (https://brockville.com/city-services/animals-pets/),Has animal control bylaw but no LGD-specific provisions found
Clarence-Rockland,Prescott and Russell,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW 2015-180,2015-12-21,No,NO LGD PROVISIONS,200 OK,YES (number_match),,,https://www.clarence-rockland.com/en/hotel-de-ville/by-laws-and-policies.aspx#Dogs-2015-180-,Animal Services (http://www.clarence-rockland.com/en/resident-services/law-enforcement/animal-ser),Has animal control bylaw but no LGD-specific provisions found
Cockburn Island,Manitoulin,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Brooke-Alvinston,Lambton,Lower Tier,Western,NO BY-LAW IN PLACE,By-law Number 5 of 2017,2017-01-26,No,NEW LGD PROVISIONS,200 OK,YES (exact),livestock guardian; herding dog,"... ea.
Part 8 – NOISE
8.1 No owner shall permit persistent barking, calling, whining or other noise
making by his or her dog / animal that is clearly audible at a point of reception in the
Municipality. 

 ---> LIVESTOCK GUARDIAN <--- 

 dogs are exempt from barking restrictions if actively
engaged in guarding livestock against predators.
PART 9 – DOG EXCREMENT
9.1 No owner shall permit a dog or other animal to foul with feces on any ...",https://brookealvinston.com/wp-content/uploads/2019/09/Animal-Licencing-.pdf,,LGD keywords found in bylaw: livestock guardian; herding dog
Cobourg,Northumberland,Lower Tier,Central,COMPLETE,BY-LAW NUMBER 021-2014,2014-03-17,No,NEEDS REVIEW,NO LINK,,,,,Animal Services (https://www.cobourg.ca/home-property/animal-services/),No bylaw link stored in database
Callander,Parry Sound,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 2022-1734,2022-02-22,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://callander.civicweb.net/filepro/document/121661/Animal%20Control%20Bylaw%20-%20By-law%202022-1734.pdf,Animal Control (http://mycallander.ca/en/municipal-services/animal-control),Has animal control bylaw but no LGD-specific provisions found
Conmee,Thunder Bay,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Brantford,Brant,Single Tier,Western,COMPLETE - FARM FRIENDLY,By-law 29-2018,2018-02-27,No,OUTDATED,200 OK,YES (exact),,,https://www.brantford.ca/Modules/Bylaws/Bylaw/Download/03bf4867-02bb-4f61-8499-4be0634bacca,Animal Services (http://www.brantford.ca/en/living-here/animal-services.aspx),"Newer bylaw detected: 06.2.9 Direction - giving of notice
Article 3
CONTROL OF VICIOUS DOGS COMMITTEE
Repealed: By-law 86-2025; 26 August 2025.
Article 4
GENERAL PROHIBITIONS
206.4.1 Prohibi"
Cramahe,Northumberland,Lower Tier,Central,COMPLETE,,,,NEEDS REVIEW,NO LINK,N/A (no name in DB),,,,,No bylaw link stored in database
Dawson,Rainy River,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Central Huron,Huron,Lower Tier,Western,NO BY-LAW IN PLACE,BY-LAW 16-2012,2012-01-09,No,NEW LGD PROVISIONS,200 OK,YES (exact),livestock guardian; herding dog,"... livestock upon the same premises, and;
4.4.2. The premises are on land that is zoned agricultural, and;
4.4.3. The dogs are licensed annually in accordance with this by-law, and;
4.4.4. The dogs are 

 ---> LIVESTOCK GUARDIAN <--- 

 dogs and/or herding dogs
4.5. Any ferrets for the purpose of a pet shall not be bred for any purpose and will be
limited to a total of two (2) per dwelling unit
5. LICENSING OF DOGS
5.1. Every dog ow ...",https://www.centralhuron.ca/en/your-municipal-government/resources/By-Law-28-2017.pdf,Apply or Renew Animal License (http://www.centralhuron.com/en/living-here/animal-services.aspx); Animal Services (http://www.centralhuron.com/en/living-here/animal-services.aspx?_mid_=27366),LGD keywords found in bylaw: livestock guardian; herding dog
Brampton,Peel,Lower Tier,Central,COMPLETE,By-law 201-2023,2023-11-22,Yes,OUTDATED,200 OK,YES (exact),livestock guardian; guardian dog; herding dog,"... uer” means a person appointed under this By-law and includes
their designate;
“Licensed Premises” means the Premises referred to in a Licence;
“Licensee” means any Person licensed under this By-law;
“

 ---> LIVESTOCK GUARDIAN <--- 

 Dog” is a Dog that works and/or lives with domestic
farm Animals, including but not limited to sheep, cattle, and poultry, to
protect them while repelling predators and is used exclusively for that
p ...",https://www1.brampton.ca/EN/City-Hall/Bylaws/All%20Bylaws/Animal%20Services%20By-law%20201-2023.pdf,Animal Services Home (http://www.brampton.ca/EN/residents/Animal-Services/); Adopt a Pet (http://www.brampton.ca/EN/residents/Animal-Services/Pages/Adoption.aspx); Licensing and Registration (http://www.brampton.ca/EN/residents/Animal-Services/Pages/License-a-Pet.aspx),"Newer bylaw detected: gerous Dog
under a previous by-law of the City, even where such by-law has been
repealed, shall continue to be subject to the terms of any restraining or
control order"
Centre Hastings,Hastings,Lower Tier,Eastern,NO BY-LAW IN PLACE,By-Law 2017-039,,Yes,NEW LGD PROVISIONS,200 OK,NO,livestock guardian; guardian dog; [pattern: guardian dog exemption: the owner of a licen],"... roducts Act O. Regulation 318/99, the Livestock Community Sales Act; and
such additional class or classes of animals as are prescribed in the regulations made
under the Livestock Identification Act;
“

 ---> LIVESTOCK GUARDIAN <--- 

 Dog” means a dog that works and/or lives with domestic farm
animals (i.e., cattle, sheep, goats) to protect them while aggressively repelling predators
and is used exclusively for that purpose.
“Micr ...",https://www.centrehastings.com/media/3pae3znu/enf-001-animal-control-policy-1.pdf,Animal Services (http://www.centrehastings.com/living-here/animal-services/),LGD keywords found in bylaw: livestock guardian; guardian dog; [pattern: guardian dog exemption: the owner of a licen]
