Municipality,County,Extraction Status,Source URL,NEW_bylaw_name,NEW_date_enacted,NEW_progress_label,NEW_has_lgd_definition,NEW_lgd_definition,NEW_has_herding_def,NEW_herding_definition,NEW_exempt_license_fees,NEW_collar_tag_req,NEW_barking_restrictions,NEW_exempt_barking,NEW_dog_limit,NEW_notes,OLD_bylaw_name,OLD_date_enacted,OLD_progress_label,OLD_has_lgd_definition,OLD_lgd_definition,OLD_has_herding_def,OLD_herding_definition,OLD_exempt_license_fees,OLD_collar_tag_req,OLD_barking_restrictions,OLD_exempt_barking,OLD_dog_limit,DB_bylaw_id
Brampton,Peel,SUCCESS,,Animal Services By-law 201-2023,2023-11-22,COMPLETE - FARM FRIENDLY,Yes,"""Livestock Guardian Dog"" is a Dog that works and/or lives with domestic farm Animals, including but not limited to sheep, cattle, and poultry, to protect them while repelling predators and is used exclusively for that purpose;",Yes,"""Herding Dog"" means a Dog that has been trained and is actively being used in a bona fide farming operation for the purposes of controlling livestock on the farm;",No,"Keep the tag issued by the City securely fixed on the Dog or Cat collar at all times. The Tag may be removed while a Dog is being lawfully used for hunting in the bush or in the case of a Livestock Guardian Dog or Herding Dog, while the Dog is being actively used in farming practices, provided that the Dog is identified by a microchip.",No,N/A,"No Person shall Keep or permit to be Kept more than a cumulative total of six (6) Cats and Dogs older than 3 months (12 weeks) of age on any Premises in the City, of which there may only be a maximum of three (3) Dogs.",Contains specific definitions for Livestock Guardian Dog and Herding Dog. Exempts these dogs from wearing a collar/tag while actively working if they are microchipped and registered.,Animal Services By-law 201-2023,2023-11-22,COMPLETE - FARM FRIENDLY,Yes,"""Livestock Guardian Dog"" is a Dog that works and/or lives with domestic farm Animals, including but not limited to sheep, cattle, and poultry, to protect them while repelling predators and is used exclusively for that purpose;",Yes,"""Herding Dog"" means a Dog that has been trained and is actively being used in a bona fide farming operation for the purposes of controlling livestock on the farm;",No,"Keep the tag issued by the City securely fixed on the Dog or Cat collar at all times. The Tag may be removed while a Dog is being lawfully used for hunting in the bush or in the case of a Livestock Guardian Dog or Herding Dog, while the Dog is being actively used in farming practices, provided that the Dog is identified by a microchip.",No,N/A,"No Person shall Keep or permit to be Kept more than a cumulative total of six (6) Cats and Dogs older than 3 months (12 weeks) of age on any Premises in the City, of which there may only be a maximum of three (3) Dogs.",270
Centre Hastings,Hastings,SUCCESS,,By-Law 2022-04,2022-01-19,COMPLETE - FARM FRIENDLY,Yes,"""Livestock Guardian Dog"" means a dog that works and/or lives with domestic farm animals (i.e., cattle, sheep, goats) to protect them while aggressively repelling predators and is used exclusively for that purpose.",No,,No,"Every tag that is issued shall be kept securely fixed on the dog at all times when the dog is in a place other than the dwelling of its owner. The owner of a licenced Livestock Guardian Dog may remove the tag from a Livestock Guardian Dog's collar while the dog is being actively used for Livestock protection to repel predators, provided that the owner provides for alternative means of identification.",No,N/A,"No person shall keep, or cause to be kept, more than three (3) dogs, three (3) cats or a total of six (6) individual animals, except: ... (5) where the keeping of animals is on lands zoned and used for agricultural, agricultural support or agriculturally related purposes.",Defines Livestock Guardian Dog. Includes agricultural exemptions to dog limits and collar/tag requirements while actively working.,By-Law 2022-04,2022-01-19,COMPLETE - FARM FRIENDLY,Yes,"""Livestock Guardian Dog"" means a dog that works and/or lives with domestic farm animals (i.e., cattle, sheep, goats) to protect them while aggressively repelling predators and is used exclusively for that purpose.",No,,No,"Every tag that is issued shall be kept securely fixed on the dog at all times when the dog is in a place other than the dwelling of its owner. The owner of a licenced Livestock Guardian Dog may remove the tag from a Livestock Guardian Dog's collar while the dog is being actively used for Livestock protection to repel predators, provided that the owner provides for alternative means of identification.",No,N/A,"No person shall keep, or cause to be kept, more than three (3) dogs, three (3) cats or a total of six (6) individual animals, except: ... (5) where the keeping of animals is on lands zoned and used for agricultural, agricultural support or agriculturally related purposes.",522
Clearview,Simcoe,SUCCESS,,By-law 21-84,2021-08-23,COMPLETE - FARM FRIENDLY,No,,No,,No,Securely affix on the collar of the dog the tag issued by the Township or its representative.,Yes,No,"The maximum number of dogs shall be two (2) per property in a settlement area within the Township. A maximum number of four (4) dogs per property are permitted outside of the settlement area boundaries, unless the landowner possesses a valid Kennel License.","BYLAW NOT FOUND AT ORIGINAL URL. Found via web search (https://www.clearview.ca/media/50342). Farm-friendly limit structure: Allows up to 4 dogs outside of settlement areas (rural/agricultural properties) compared to 2 dogs in settlement areas, though no explicit definition for working dogs exists.",By-law 21-84,2021-08-23,COMPLETE - FARM FRIENDLY,No,,No,,No,Securely affix on the collar of the dog the tag issued by the Township or its representative.,Yes,No,"The maximum number of dogs shall be two (2) per property in a settlement area within the Township. A maximum number of four (4) dogs per property are permitted outside of the settlement area boundaries, unless the landowner possesses a valid Kennel License.",599
Clarington,Durham,SUCCESS,,By-Law 2013-024,2013-03-25,COMPLETE - FARM FRIENDLY,No,,No,,No,A pet owner shall ensure that the identification tag issued by the Municipality is kept securely affixed to its pet at all times.,Yes,No,"No person shall keep more than 3 dogs on a property without a permit. Section 3.20 shall not apply to any owner who keeps on property in an Agricultural Zone, ... (d) farming dogs provided the farming dog owner provides proof acceptable to the Municipal Clerk that the dogs are required as part of animal husbandry.",Agricultural exemptions to the dog limit are permitted for farming dogs required as part of animal husbandry on properties zoned Agricultural.,By-Law 2013-024,2013-03-25,COMPLETE - FARM FRIENDLY,No,,No,,No,A pet owner shall ensure that the identification tag issued by the Municipality is kept securely affixed to its pet at all times.,Yes,No,"No person shall keep more than 3 dogs on a property without a permit. Section 3.20 shall not apply to any owner who keeps on property in an Agricultural Zone, ... (d) farming dogs provided the farming dog owner provides proof acceptable to the Municipal Clerk that the dogs are required as part of animal husbandry.",592
Central Manitoulin,Manitoulin,SUCCESS,,By-law #2022-12,2022-12-15,COMPLETE - FARM FRIENDLY,Yes,"""Livestock guardian dog"" means a dog that (a) is identifiably of a breed this is generally recognized as suitable for the purposes of protection of livestock from predation, and (b) lives with a flock or herd of livestock;",No,,No,"The owner shall keep the dog tag securely fixed on the dog at all times until the tag is renewed or replaced, but the tag may be removed while the dog is within the premises of the owner.",Yes,No,In all areas of the Municipality having a lot area of less than 0.4 ha (1 acre) the maximum number of dogs permitted per household shall be two (2). In all areas of the Municipality having a lot area of equal to or more than 0.4 ha (1 acre) the maximum number of dog permitted per household shall be (3).,Defines Livestock guardian dog. Exempts LGDs from outdoor shelter requirements if they have ready access to a structurally sound building used to house livestock.,By-law #2022-12,2022-12-15,COMPLETE - FARM FRIENDLY,Yes,"""Livestock guardian dog"" means a dog that (a) is identifiably of a breed this is generally recognized as suitable for the purposes of protection of livestock from predation, and (b) lives with a flock or herd of livestock;",No,,No,"The owner shall keep the dog tag securely fixed on the dog at all times until the tag is renewed or replaced, but the tag may be removed while the dog is within the premises of the owner.",Yes,No,In all areas of the Municipality having a lot area of less than 0.4 ha (1 acre) the maximum number of dogs permitted per household shall be two (2). In all areas of the Municipality having a lot area of equal to or more than 0.4 ha (1 acre) the maximum number of dog permitted per household shall be (3).,515
Caledon,Peel,SUCCESS,,By-law Number 2019-43,,COMPLETE - FARM FRIENDLY,No,,No,,N/A,A pet ID tag and/or microchip with contact information is required.,Yes,No,No owner shall keep or permit to be kept in excess of 3 dogs on a lot.,"BYLAW NOT FOUND AT ORIGINAL URL. Found working URL (https://www.caledon.ca/en/government/resources/Documents/council-town-administration/Animal-Control-By-law.pdf). The by-law explicitly exempts animals 'kept and managed in accordance with a normal farm practice' (Section 3.19) from the by-law provisions, making it farm friendly.",By-law Number 2019-43,2019-06-25,COMPLETE - FARM FRIENDLY,No,,No,,No,A pet ID tag and/or microchip with contact information is required.,Yes,No,No owner shall keep or permit to be kept in excess of 3 dogs on a lot.,375
Cochrane,Cochrane,SUCCESS,,By-law Number 124-2001,2001-05-14,COMPLETE - FARM FRIENDLY,No,,No,,No,Every owner shall affix to his or her dog the licence tag issued... and shall keep such tag affixed on the dog at all times.,Yes,No,No person shall keep more than a total of two dogs in any Urban Area within the Town of Cochrane (Exemptions for licensed kennels). No maximum limit applies to Rural Areas.,"BYLAW NOT FOUND AT ORIGINAL URL. Located 'Pet Owners Bylaw' at https://cochraneontario.com/documents/89/services/01I7KMSPTCECSHZZ7OX5BK3SWEAA6PMRQQ/Pet%20Owners%20Bylaw.pdf. Farm-friendly approach to dog limits: the 2-dog maximum applies strictly to Urban Areas, leaving Rural Areas without a cap (though annual licenses for 'multiple dogs in Rural Areas' are still required).",By-law Number 124-2001,2001-05-14,COMPLETE - FARM FRIENDLY,No,,No,,No,Every owner shall affix to his or her dog the licence tag issued... and shall keep such tag affixed on the dog at all times.,Yes,No,No person shall keep more than a total of two dogs in any Urban Area within the Town of Cochrane (Exemptions for licensed kennels). No maximum limit applies to Rural Areas.,620
Armstrong,Timiskaming,SUCCESS,,BY-LAW NO. 2022-47,2023-01-11,COMPLETE - FARM FRIENDLY,Yes,"""Livestock Guardian Dog"" means a dog that works and/or lives with domestic farm animals (e.g., cattle, sheep, poultry) to protect them while repelling predators and is used exclusively for that purpose.",Yes,"""Herding Dog"" means a dog that has been trained and is actively being used in a bona fide farming operation for the purposed of controlling livestock on the farm.",Yes,"Every owner of a dog... shall keep the tag securely fixed... an owner need not keep the tag on his or her dog... if the dog is a Livestock Guardian Dog or a Herding Dog and the dog is being actively used in farming practices, and has been tattooed or implanted with a microchip.",Yes,Yes,"4 dogs and 6 cats for zoned rural and agricultural. All other zones: Two (2) dogs... Notwithstanding Section 4.2.1 this requirement shall not apply to owners of Livestock Guardian Dogs, Herding Dogs... while such dogs... are kept in an area which is zoned 'agricultural/rural' pursuant to the Zoning By-Law and said dogs are kept for agricultural uses in accordance with their defined function.","Highly farm-friendly bylaw. Includes fee exemptions for LGDs and herding dogs, exempts them from barking restrictions, dog limits, and collar/tag requirements while actively engaged.",BY-LAW NO. 2022-47,2023-01-11,COMPLETE - FARM FRIENDLY,Yes,"""Livestock Guardian Dog"" means a dog that works and/or lives with domestic farm animals (e.g., cattle, sheep, poultry) to protect them while repelling predators and is used exclusively for that purpose.",Yes,"""Herding Dog"" means a dog that has been trained and is actively being used in a bona fide farming operation for the purposed of controlling livestock on the farm.",Yes,"Every owner of a dog... shall keep the tag securely fixed... an owner need not keep the tag on his or her dog... if the dog is a Livestock Guardian Dog or a Herding Dog and the dog is being actively used in farming practices, and has been tattooed or implanted with a microchip.",Yes,Yes,"4 dogs and 6 cats for zoned rural and agricultural. All other zones: Two (2) dogs... Notwithstanding Section 4.2.1 this requirement shall not apply to owners of Livestock Guardian Dogs, Herding Dogs... while such dogs... are kept in an area which is zoned 'agricultural/rural' pursuant to the Zoning By-Law and said dogs are kept for agricultural uses in accordance with their defined function.",102
Enniskillen,Lambton,SUCCESS,,BL 24 of 2011,,COMPLETE,No,,No,,No,Failure to display a dog tag is an offence subject to fine.,Yes,No,The total number of dogs owned by all of the persons comprising any one household within the limits of the municipality shall be restricted to three (3)... The restriction in numbers of dogs shall not apply to any licensed Dog Kennel within the Township.,Standard animal control bylaw with no specific farm-friendly LGD provisions mentioned.,BL 24 of 2011,,COMPLETE,No,,No,,No,Failure to display a dog tag is an offence subject to fine.,Yes,No,The total number of dogs owned by all of the persons comprising any one household within the limits of the municipality shall be restricted to three (3)... The restriction in numbers of dogs shall not apply to any licensed Dog Kennel within the Township.,844
Drummond-North Elmsley,Lanark,SUCCESS,,By-Law 2019-024,,COMPLETE,No,,No,,Yes,"DOG TAG - shall mean a personal tag provided by the owner with identifying information i.e., name, telephone number.",Yes,No,"Not explicitly restricted for general households, though keeping more than 5 dogs constitutes a Kennel.","BYLAW NOT FOUND AT ORIGINAL URL. Re-searched and located By-Law No. 2019-024 on the Township's website. The municipality eliminated municipal dog licensing fees and tags, requiring owners to self-tag instead. No specific livestock guardian dog definitions or exemptions exist.",By-Law 2019-024,2019-04-23,COMPLETE,No,,No,,Yes,"DOG TAG - shall mean a personal tag provided by the owner with identifying information i.e., name, telephone number.",Yes,No,"Not explicitly restricted for general households, though keeping more than 5 dogs constitutes a Kennel.",711
Cobalt,Timiskaming,SUCCESS,,BY-LAW NO. 2013-037,,COMPLETE - FARM FRIENDLY,Yes,,Yes,,N/A,Unknown,Yes,N/A,Unknown,"The bylaw index lists sections specifically defining 'Livestock Guardian Dog' (2.31) and 'Herding Dog' (2.25), but the exact text is not accessible.",BY-LAW NO. 2013-037,2013-11-26,COMPLETE - FARM FRIENDLY,Yes,"a dog that works and/or lives with domestic farm animals (e.g. cattle, sheep, poultry) to protect them while repelling predators and is used exclusively for that purpose.",Yes,a dog that has been trained and is actively being used in a bona fide farming operation for the purposed of controlling livestock on the farm.,Yes,Unknown,Yes,Yes,Unknown,606
Essa,Simcoe,SUCCESS,,BY-LAW NO. 2006-18,,COMPLETE - FARM FRIENDLY,Yes,"""Livestock Guardian Dog"" (LGD) means a dog that is specifically trained to work or live with domestic animals (e.g. cattle, sheep, poultry) without causing harm while aggressively repelling predators and is used exclusively for that purpose.",Yes,"""Herding dog"" means a dog that has been trained to and actively assists its owner(s) with herding in a bona fide farming operation for the purposes of controlling livestock on the farm.",No,"This By-law shall exempt livestock guardian and herding dog(s) that are being used in active farming practices from the requirement for the dog(s) to wear a collar and tag, provided that the owner uses an alternative means of identification such as microchipping.",Yes,Unknown,"No one person shall, nor shall any one household own, possess, harbour, board, or license more than three dogs unless the person or household holds a valid kennel license pursuant to the Township's most current Business Licensing By-law.",Includes clear definitions and an explicit exemption from collar/tag requirements for LGDs and herding dogs on active farms.,BY-LAW NO. 2006-18,2006-03-15,COMPLETE - FARM FRIENDLY,Yes,"""Livestock Guardian Dog"" (LGD) means a dog that is specifically trained to work or live with domestic animals (e.g. cattle, sheep, poultry) without causing harm while aggressively repelling predators and is used exclusively for that purpose.",Yes,"""Herding dog"" means a dog that has been trained to and actively assists its owner(s) with herding in a bona fide farming operation for the purposes of controlling livestock on the farm.",No,"This By-law shall exempt livestock guardian and herding dog(s) that are being used in active farming practices from the requirement for the dog(s) to wear a collar and tag, provided that the owner uses an alternative means of identification such as microchipping.",Yes,Unknown,"No one person shall, nor shall any one household own, possess, harbour, board, or license more than three dogs unless the person or household holds a valid kennel license pursuant to the Township's most current Business Licensing By-law.",865
Grey Highlands,Grey,SUCCESS,,Consolidated By-law No. 2021-071,,COMPLETE - FARM FRIENDLY,No,,No,,No,Every person shall license a dog within 1 week after the dog comes into their care or possession and affix the tag.,Yes,Yes,No person shall keep or permit to be kept more than 3 dogs within or about any dwelling unit in the Municipality of Grey Highlands... with exception to a licensed kennel.,"BYLAW NOT FOUND AT ORIGINAL URL. Found the Consolidated Canine Control By-law No. 2021-071. While the Canine Control By-law lacks LGD definitions, the municipality's Noise Control By-law (2018-063) specifically exempts barking noises from 'an animal used for, and located on, the property of an agriculture, livestock based use', which is very farm friendly.",Consolidated By-law No. 2021-071,2021-07-21,COMPLETE - FARM FRIENDLY,No,,No,,No,Every person shall license a dog within 1 week after the dog comes into their care or possession and affix the tag.,Yes,Yes,No person shall keep or permit to be kept more than 3 dogs within or about any dwelling unit in the Municipality of Grey Highlands... with exception to a licensed kennel.,1054
Gravenhurst,Muskoka,SUCCESS,,By-Law 2018-26,,COMPLETE - FARM FRIENDLY,Yes,"“Livestock Guardian Dog” means a dog that is specifically trained to work and live with domestic farm animals ( i. e. cattle, sheep) without causing them harm while aggressively repelling predators and is used exclusively for that purpose, and includes the following breeds; Akbash, Great Pyrenees, Komondor, and Maremma.",Yes,“Farm Working Dog” means a dog that is specifically trained to and actively assists its owner(s) with the herding of livestock and where the owner(s) can demonstrate that they are an active livestock farmer...,No,"Every owner of a dog, until ceasing to be the owner of the dog, shall obtain a licence.",Yes,No,There is a three (3) dog limit in each household on all properties within the Town. Any household exceeding three (3) dogs must apply for a Kennel License.,BYLAW NOT FOUND AT ORIGINAL URL. Found By-law 2018-26 via web search. Highly farm-friendly by-law that explicitly defines both 'Livestock Guardian Dog' and 'Farm Working Dog' and includes them as mitigating factors in dangerous dog/biting assessments.,By-Law 2018-26,2018-03-20,COMPLETE - FARM FRIENDLY,Yes,"“Livestock Guardian Dog” means a dog that is specifically trained to work and live with domestic farm animals ( i. e. cattle, sheep) without causing them harm while aggressively repelling predators and is used exclusively for that purpose, and includes the following breeds; Akbash, Great Pyrenees, Komondor, and Maremma.",Yes,“Farm Working Dog” means a dog that is specifically trained to and actively assists its owner(s) with the herding of livestock and where the owner(s) can demonstrate that they are an active livestock farmer...,No,"Every owner of a dog, until ceasing to be the owner of the dog, shall obtain a licence.",Yes,No,There is a three (3) dog limit in each household on all properties within the Town. Any household exceeding three (3) dogs must apply for a Kennel License.,1019
Greater Napanee,Lennox and Addington,SUCCESS,,By-law No. 2024-0055,2024-01-01,COMPLETE - FARM FRIENDLY,Yes,"""Working Farm Dogs"" include dogs that are used for herding or guarding livestock on a farm.",No,,No,"Ensure that the Dog identification tag, issued as part of the registration, is displayed on the Dog's collar, and that the said collar is always affixed to the Dog.",Yes,Unknown,Unknown,"Classifies both livestock guardian dogs and herding dogs together under the definition of ""Working Farm Dogs"".",By-law No. 2024-0055,2024-01-01,COMPLETE - FARM FRIENDLY,Yes,"""Working Farm Dogs"" include dogs that are used for herding or guarding livestock on a farm.",No,,No,"Ensure that the Dog identification tag, issued as part of the registration, is displayed on the Dog's collar, and that the said collar is always affixed to the Dog.",Yes,Unknown,Unknown,1033
